left_shoulder_left_wrist,right_shoulder_right_wrist,left_hip_left_ankle,right_hip_right_ankle,left_hip_left_wrist,right_hip_right_wrist,left_shoulder_left_ankle,right_shoulder_right_ankle,left_hip_right_wrist,right_hip_left_wrist,left_elbow_right_elbow,left_knee_right_knee,left_wrist_right_wrist,left_ankle_right_ankle,left_hip_avg_left_wrist_left_ankle,right_hip_avg_right_wrist_right_ankle,pose
92.73268,86.3553,162.66754,186.3904,179.72633,200.0482,306.7942,333.77878,218.56818,167.00778,72.60463,31.298151,87.39227,48.943527,54.212223,62.63177,1
96.27168,120.11018,245.97449,247.73032,224.22852,217.56119,425.60016,431.49103,223.70604,227.05072,83.00789,32.651665,95.9922,25.91046,46.061134,61.10671,1
70.500984,61.06542,72.19047,72.50423,79.90194,64.01445,114.53607,104.84759,86.71312,114.38563,116.30755,69.194145,91.0378,77.31873,57.92591,50.39694,1
74.0752,63.25141,63.149536,66.30616,82.26642,59.859303,113.26249,106.1099,69.62729,118.796486,103.35204,60.03552,87.79536,69.54665,49.289547,39.40551,1
71.689865,76.59997,94.5046,87.69192,183.63605,164.22119,225.90945,214.85709,171.23642,178.72989,48.71792,13.396706,43.765213,20.727339,90.88609,93.03819,1
83.382164,82.84719,159.18456,135.84465,180.22229,164.83325,295.7868,263.57498,143.92346,206.68347,67.951355,42.01848,64.243675,5.1201177,60.41963,62.27166,1
97.641785,91.380844,220.32434,195.21597,182.33977,186.95006,374.96207,347.2762,193.65337,180.76106,49.645844,34.41261,51.682854,56.934673,55.380287,61.292892,1
80.64134,80.52957,241.60822,246.57016,212.2326,214.83145,398.7496,403.5079,231.39891,200.9496,58.815292,34.053795,75.002235,52.2367,66.312645,79.08058,1
62.48405,61.36045,140.47183,138.0219,95.40591,98.10958,232.3563,229.66632,103.08981,98.2396,54.74388,15.792307,53.398285,17.010101,31.175594,29.309704,1
63.20545,59.9433,84.725525,83.76545,65.61295,62.071754,144.53772,141.81042,67.29819,70.00341,48.912273,13.865185,47.638824,16.69578,21.663181,22.939737,1
85.18756,84.98066,130.2419,129.24751,126.87605,125.67106,235.7063,235.26135,130.16312,128.88947,52.801098,33.97792,47.885643,39.347134,36.480568,42.331833,1
76.94187,73.876305,102.970276,103.64881,87.83285,86.76004,182.33484,182.57285,90.54664,92.28007,49.01732,18.06357,53.514324,21.139185,35.330936,33.592915,1
76.970215,55.645794,76.35386,74.66992,89.700554,71.765656,113.969284,103.80505,89.96918,116.90122,110.31991,45.103687,94.06288,45.611324,60.36324,54.952732,1
77.57308,55.280773,74.14418,72.863846,89.0598,68.584915,113.97419,104.19441,86.17615,117.42725,112.13369,46.120792,94.19453,46.887474,57.91482,51.19051,1
77.30064,63.942142,75.128174,77.40404,83.636345,60.75832,119.192245,105.994965,76.87236,116.35791,110.180984,58.445198,85.190865,60.1385,59.07311,53.929245,1
78.313,65.31658,77.81002,84.37893,81.97981,63.592396,120.63738,110.56525,78.337364,113.5218,105.85475,61.452564,76.9114,65.72113,61.652798,58.86508,1
107.4566,84.80978,179.61751,184.6141,156.95993,125.43184,305.1887,295.31677,104.019775,191.42796,90.41942,47.74057,94.23478,49.193516,54.804024,55.769276,1
106.78401,85.55529,170.88411,175.98503,150.40866,127.57545,292.3281,286.4818,104.59947,185.843,85.52466,46.161488,88.69213,47.592995,54.2333,51.418655,1
109.52008,83.058556,176.42197,182.18968,155.87627,128.55646,302.65762,298.1267,107.74346,188.98686,85.79206,47.443996,90.43368,49.695934,54.331608,53.37791,1
49.625507,55.604015,70.96991,71.41719,88.89174,97.913574,85.58806,86.642784,101.92354,89.61996,36.201565,24.56226,38.65027,14.754841,63.581955,67.29991,1
51.58929,47.195705,70.532425,70.06616,99.77966,101.41173,118.42607,121.80445,108.751945,94.663994,25.960861,18.685213,20.443668,28.252195,15.504059,22.874279,1
60.26802,61.969296,151.29373,150.37234,140.11438,128.95848,253.00487,236.25221,134.49384,143.53197,58.18068,25.34945,81.68968,20.725157,60.13927,59.551952,1
101.28732,103.14813,185.12056,186.24908,181.3092,182.76808,322.20343,322.71457,188.30676,183.32742,58.278465,18.145578,73.214775,16.127657,74.22142,77.732124,1
103.36946,102.61272,195.01198,198.02951,184.94165,187.04367,337.34006,341.10715,195.16771,185.03973,68.85523,17.265186,77.004616,16.857765,74.757355,75.63398,1
82.2763,77.00482,120.779144,141.37257,176.76967,183.13504,231.07881,271.10504,185.40295,175.02214,28.096788,31.717932,12.034627,49.155857,94.91099,78.29046,1
70.76653,63.47909,65.560715,64.12845,74.59134,61.538445,108.26866,101.441444,84.29804,110.61552,112.4818,58.203354,91.46393,57.93628,46.997726,44.262436,1
66.26982,54.404217,61.830624,60.605984,76.44135,52.31689,106.96883,95.49038,76.75941,107.84263,110.78614,51.857986,91.743385,50.35223,41.778084,36.233166,1
69.285255,57.6153,67.59352,71.11915,80.58569,60.51167,108.952385,98.40885,94.47129,120.31115,130.43115,84.26522,106.46938,103.02296,49.37154,49.136307,1
37.51379,29.584381,45.003025,81.96286,26.376057,31.907784,89.31393,123.70715,32.84948,36.72039,30.280125,27.67275,29.72827,46.095554,20.085522,31.863333,1
36.710968,42.015053,69.92563,64.29511,37.179356,51.59988,118.99971,111.17056,46.6005,51.790337,30.184784,24.977522,31.360985,18.480928,29.346298,26.791712,1
63.17835,58.32781,114.118835,102.98771,89.13438,56.491676,135.996,112.19473,74.10364,106.06942,83.15343,29.704725,92.169,27.296844,85.844696,78.261566,1
50.973763,77.10654,65.984436,69.92462,47.315025,86.6301,92.51209,118.85884,102.624245,84.60661,108.86602,37.622547,104.84552,42.46822,42.983562,44.367683,1
48.630238,71.422714,58.5509,60.19088,47.583282,75.50015,90.78961,105.31451,83.263695,69.72413,81.26303,28.395014,69.68747,31.01707,35.796474,42.56096,1
39.75215,71.55012,60.032402,59.197857,35.183292,73.23015,92.80595,104.47856,81.37301,61.32462,84.46644,28.627403,81.71955,31.872513,35.4068,39.390728,1
40.948986,73.65327,61.28921,63.361065,39.501804,79.210655,92.77896,109.17494,90.304474,74.18772,101.26808,33.603043,96.02803,34.60806,38.836258,41.43232,1
76.43624,84.318565,184.97397,175.36497,136.98753,162.7195,292.5821,292.60184,201.74895,109.11785,94.581856,46.00301,80.69594,59.18203,61.58148,51.785015,1
88.140884,100.93601,174.78127,165.00545,138.39235,167.46327,292.16864,290.70886,195.38725,120.44871,76.81883,42.715935,72.444824,55.744564,57.700485,55.249043,1
89.31488,100.63593,164.66168,155.50952,134.35245,159.03235,271.92224,271.79373,186.69211,116.79039,75.62809,40.916725,68.68124,55.21263,56.95974,54.35192,1
48.501816,55.59802,67.187614,71.65731,77.19291,88.83832,81.45659,94.484215,112.79214,97.04654,106.85191,44.59426,85.04527,49.87109,58.913185,62.927147,1
69.0503,62.493874,62.625103,62.240314,64.48572,59.902077,94.2269,77.17144,74.43661,71.698814,66.34171,32.833595,59.869236,24.881548,51.25663,57.329033,1
61.536865,63.78351,62.43153,63.69945,39.733444,48.580853,93.146255,109.40382,94.48057,67.211945,109.83509,59.049763,80.593735,61.387577,36.08837,34.85509,1
30.424934,37.82186,67.71657,65.68232,13.942883,15.5234,105.93164,100.326485,24.60114,27.159294,47.3432,12.730069,34.108047,19.660667,27.649368,35.949303,1
87.455574,63.00536,170.88095,171.29755,93.111145,142.2203,261.39224,278.27527,148.03058,95.68348,50.46748,22.463133,86.33402,15.07771,96.61348,81.02058,1
32.121723,42.377735,28.653784,33.311447,76.432014,84.88688,77.94174,78.418434,84.30643,108.6464,73.714035,48.43837,80.27805,46.12719,25.57686,26.53044,1
40.073376,34.405876,44.35025,37.83751,86.19669,77.900085,95.49743,82.25353,70.632,105.61332,52.539616,34.184155,48.956696,23.42725,23.970797,21.817127,1
