right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder
14.021936,8.209483,23.214682,129.22336,116.20367,138.05977,141.5734
67.07733,75.85711,6.3350124,33.74173,33.625263,149.02754,155.0184
74.106384,75.37815,6.424525,29.7618,29.70714,150.3709,150.90872
60.998238,68.25978,7.821822,51.646946,49.7939,139.17223,146.2462
28.63187,20.923723,13.974963,133.0697,134.82716,122.64021,105.69105
27.859589,11.3365555,11.877153,95.64253,96.21536,120.18893,108.007454
10.567528,14.932956,13.324707,146.00359,150.6523,114.79177,114.03149
10.874949,11.197131,13.995552,122.1597,124.19364,110.021736,99.134
10.369747,7.097723,21.346342,115.9387,99.74121,135.73085,123.661606
10.679246,6.265778,15.623335,119.16371,110.973946,136.38324,124.4137
11.748518,8.358135,21.4159,112.387856,100.01013,133.03278,122.10247
8.7869215,7.7890725,15.278999,122.23669,115.96222,125.54989,122.060844
13.53383,6.9897447,24.014631,111.62448,92.01698,136.5408,120.37158
8.812914,7.46159,18.012617,119.69124,114.15615,133.62923,122.0136
9.308156,7.9284625,40.9272,124.58425,91.836174,138.53923,126.40105
10.022361,7.142778,15.405642,123.48853,119.15522,131.93353,121.12701
11.339349,11.458008,11.715621,136.06544,132.26813,127.04888,121.64637
20.700283,25.43998,13.544634,118.019,114.86001,121.2667,122.09457
17.912016,21.43154,15.8534775,117.33479,116.3614,121.102516,124.03445
23.200378,23.909359,22.286299,109.994644,111.206375,125.787285,126.71265
21.558239,19.653414,43.091595,97.241196,119.82621,125.72139,127.36095
22.582798,16.326687,10.143967,122.86026,113.65458,127.16758,125.653946
13.504094,7.4290853,13.189126,126.16326,119.14525,124.22539,115.606606
14.007555,11.473495,11.603978,127.09833,118.75104,119.28456,102.47527
14.995389,5.0048814,12.015034,122.87882,122.10908,126.566,114.29837
16.590929,5.708078,11.493648,123.65395,117.643394,127.23426,117.1694
16.61022,4.8225985,11.4498625,119.03691,113.06116,126.84257,118.25536
21.925844,17.883715,11.625091,115.16384,110.56914,125.43683,120.0389
21.50199,15.521531,11.339626,124.12175,119.98228,127.45544,125.633255
17.633993,13.197815,14.556055,124.17376,115.84038,126.51033,124.28138
12.182667,9.656083,13.192052,121.727615,114.53891,121.584206,104.31029
34.6022,39.907455,17.820118,130.08667,131.54633,96.867775,85.80907
40.08418,43.784275,17.916037,131.84044,135.12788,99.23663,90.54609
36.064327,39.239445,13.976977,134.1009,134.6324,98.239136,90.747604
36.712498,37.351067,13.728474,134.73277,134.56683,95.16646,90.541374
36.73955,44.894787,15.495567,130.32066,129.26204,92.91648,85.5931
63.847935,68.985634,32.145462,101.50841,102.05061,118.81031,124.7951
