left_shoulder_left_wrist,right_shoulder_right_wrist,left_hip_left_ankle,right_hip_right_ankle,left_hip_left_wrist,right_hip_right_wrist,left_shoulder_left_ankle,right_shoulder_right_ankle,left_hip_right_wrist,right_hip_left_wrist,left_elbow_right_elbow,left_knee_right_knee,left_wrist_right_wrist,left_ankle_right_ankle,left_hip_avg_left_wrist_left_ankle,right_hip_avg_right_wrist_right_ankle,pose
203.60603,286.4792,304.26105,414.0624,195.16455,297.29507,365.66864,447.05835,413.80127,188.05655,276.85236,321.35394,297.74396,216.70871,249.7128,355.67874,1
194.73221,286.0974,311.00024,390.0967,192.97733,311.18646,367.6911,415.2027,432.2091,187.42053,289.58554,329.22775,318.0994,190.30252,251.98878,350.6416,1
198.5672,281.22113,299.9632,383.22546,194.88774,303.69162,361.0336,413.28314,415.4478,192.78899,277.0241,322.37668,304.4954,182.55469,247.42548,343.45853,1
216.85342,285.03098,309.79294,442.56857,188.1089,281.73914,394.54205,487.51254,399.23843,185.99362,280.34958,321.84418,292.99054,239.96506,248.95091,362.15387,1
218.51408,284.72253,328.83087,451.3346,187.24998,279.7103,417.24323,499.2141,398.63135,188.47879,283.31137,322.4589,296.42816,233.09132,258.04044,365.52246,1
230.65858,284.03412,289.29565,449.01538,198.2508,268.8041,385.2669,505.19827,376.1368,195.38882,261.20724,316.62958,267.8775,256.17154,243.77322,358.90976,1
229.7543,293.71805,324.7477,479.93634,177.35892,254.64676,441.1969,558.3046,366.5828,190.769,273.62704,310.02185,284.4282,256.554,251.0533,367.29153,1
239.70558,266.71936,294.2294,471.04672,184.86299,225.85765,411.81396,548.102,336.28253,189.2895,255.89436,321.32596,246.19803,278.55838,239.54619,348.45218,1
240.43687,294.90155,307.64465,468.2494,198.99815,271.93045,409.54047,530.17303,386.5454,194.37321,270.5593,316.6823,277.09756,265.7813,253.3214,370.08994,1
237.77657,287.22418,292.42038,448.82007,198.65309,268.83298,393.73065,508.05588,381.08643,194.49,266.64032,325.43307,272.45804,258.60132,245.53673,358.8265,1
219.57423,288.2862,281.80017,437.21884,190.54633,286.27472,373.55246,484.07245,394.8012,192.17911,272.3724,322.5669,289.6426,252.65501,236.17325,361.74677,1
230.80829,291.976,296.7812,458.7909,200.23853,271.12457,391.376,520.32294,379.07803,197.57727,252.78545,305.0816,271.68506,260.01373,248.50987,364.95773,1
237.21669,281.8351,291.7026,439.08026,204.55084,258.3222,386.97208,504.42093,362.62946,199.08972,240.46965,298.2482,252.17592,241.11664,248.12672,348.70123,1
218.99713,296.10974,299.8853,431.65024,192.58105,281.63425,387.5322,490.29572,388.63638,196.08896,259.72995,299.0303,287.11414,228.99173,246.23317,356.64224,1
225.76178,283.12613,293.07642,444.6924,188.13513,256.11008,393.0499,512.0441,362.1988,193.8665,252.24792,302.01874,268.68253,246.53716,240.60577,350.40125,1
223.741,279.31378,301.48337,448.93542,192.04872,253.60182,394.14014,514.8547,355.6757,196.6314,241.81262,298.47034,259.06653,239.19788,246.76604,351.26865,1
225.92868,294.77594,320.79678,454.4734,182.3771,257.5494,424.32104,534.8765,357.7207,194.48004,247.89462,288.78418,274.43246,220.52008,251.58694,356.01138,1
471.13925,258.28302,651.2044,469.80292,436.83762,136.54016,716.65845,579.7048,224.94257,390.6821,190.4996,111.13454,344.36758,141.93312,544.021,303.17154,1
386.7818,279.53574,398.5218,421.32275,300.00912,126.069855,538.92664,586.15027,213.16022,278.10428,182.34169,178.3748,268.3168,73.957954,349.26547,273.69632,1
377.81866,335.5103,328.79767,355.2281,331.23434,245.72588,435.43857,479.84692,290.05862,337.38177,192.79118,169.362,233.60214,50.26613,330.01602,300.477,1
274.98984,328.7274,390.97284,398.2143,69.26978,195.70946,586.0719,603.3565,236.73967,113.404396,175.15749,170.19621,235.39197,66.977036,230.12132,296.96188,1
355.89246,333.58493,393.86063,368.40164,214.72777,204.63606,596.5509,552.3906,252.22682,231.17107,171.64787,204.68178,209.78986,54.743122,304.2942,286.51883,1
316.83456,290.8239,394.73758,331.24533,203.61276,178.96014,568.19147,495.12158,228.08539,222.91089,165.54088,228.89928,203.26988,72.53178,299.17517,255.10272,1
312.5693,317.46228,301.44882,295.74475,212.56415,208.23958,468.3797,461.89304,248.94676,241.8886,179.48087,261.73438,219.21686,57.631557,257.00647,251.99217,1
285.79953,310.73398,299.98557,293.0602,174.54742,189.76411,478.62286,469.94574,227.9622,217.55476,173.45064,260.05304,229.24373,56.912483,237.2665,241.41217,1
293.1299,309.1684,317.22235,277.42807,190.80434,199.74037,481.97137,439.5975,237.88664,228.81609,165.99129,257.14188,224.29576,66.74453,254.01335,238.58423,1
278.042,301.63113,316.40707,285.38876,183.22064,198.94353,476.08212,443.70837,236.79823,224.1596,167.28471,255.66669,227.59749,63.142,249.81386,242.16614,1
