left_shoulder_left_wrist,right_shoulder_right_wrist,left_hip_left_ankle,right_hip_right_ankle,left_hip_left_wrist,right_hip_right_wrist,left_shoulder_left_ankle,right_shoulder_right_ankle,left_hip_right_wrist,right_hip_left_wrist,left_elbow_right_elbow,left_knee_right_knee,left_wrist_right_wrist,left_ankle_right_ankle,left_hip_avg_left_wrist_left_ankle,right_hip_avg_right_wrist_right_ankle,pose
175.44139,255.11096,274.2628,278.10928,204.02945,305.18997,424.9814,463.852,499.71326,348.91083,520.20374,260.62585,503.27374,288.20056,239.14612,291.64963,1
172.656,272.75458,278.6255,278.53876,214.49522,328.35254,431.19037,463.5222,535.01434,370.44064,558.00977,264.55426,552.03094,293.222,246.56036,303.44565,1
214.38136,221.25352,642.6807,629.1625,552.645,566.04553,1101.9685,1083.5452,569.14075,569.10925,161.66583,40.861145,207.51201,30.054983,597.66284,597.604,1
219.07677,234.40323,679.34235,669.053,554.50476,582.093,1136.3374,1121.7672,596.3381,558.44,162.28728,45.07628,211.61581,34.391754,616.9235,625.573,1
222.7922,220.95964,647.7486,653.7377,560.8796,547.04865,1100.5779,1100.0464,543.934,582.9068,163.6241,40.30658,206.27469,32.387833,604.3141,600.3931,1
228.7163,223.51263,644.8154,665.97656,595.89026,560.6338,1117.982,1120.2856,541.91223,634.24927,173.00777,60.435135,212.841,58.047977,620.35284,613.3052,1
224.96997,214.09846,632.7806,634.59595,540.26025,499.82608,1064.3662,1051.0934,477.90982,581.86017,177.24113,51.52796,215.12035,44.252754,586.5204,567.211,1
222.74539,216.39137,636.47595,623.0125,523.30396,516.09674,1064.7406,1053.1901,528.7441,531.0592,167.05084,38.67671,204.79384,31.397057,579.88995,569.5546,1
225.64838,221.2545,660.7256,644.36646,538.8515,529.7853,1103.8448,1079.4431,516.97095,571.6242,166.8501,37.381268,206.17108,27.163841,599.7886,587.07587,1
226.63205,232.63582,645.0446,634.8061,520.879,541.27295,1067.8949,1060.3585,559.4442,522.822,168.94594,44.16154,208.87431,33.057484,582.96185,588.03955,1
217.9111,220.10663,611.82465,604.5984,483.17532,514.16345,1026.5878,1025.3589,531.16315,488.14874,170.59743,36.507626,211.92839,29.046232,547.5,559.3809,1
220.87575,224.10683,586.3331,579.27435,473.8146,502.52597,986.70465,988.5313,526.49524,473.17172,178.45241,38.86941,212.22708,33.1247,530.07385,540.90015,1
212.308,214.1411,576.8381,574.6911,443.78824,467.27258,958.9768,964.26654,483.57513,453.1766,187.6736,36.213856,210.69551,27.082312,510.31317,520.9819,1
203.11433,202.65381,535.46674,529.9703,422.35608,429.41418,889.5847,886.38245,445.32928,433.77283,199.93715,40.494892,206.16626,29.419199,478.9114,479.69223,1
207.971,208.68896,577.6202,570.8563,430.54263,438.99927,929.6764,919.77234,446.3489,451.07513,204.79047,43.03658,207.3309,26.553526,504.0814,504.92776,1
221.93954,228.86899,572.6524,574.4082,442.5581,470.70044,934.37085,951.55914,496.36682,442.50586,173.18869,48.116425,210.18787,30.558525,507.60526,522.5543,1
219.47586,219.57086,575.2695,572.0478,431.82748,460.42633,941.8506,952.93933,485.8147,432.67236,173.93896,46.26855,209.91655,32.005688,503.54846,516.23706,1
221.85475,222.90176,565.37366,561.8798,434.43973,452.01108,925.93115,930.17395,473.8102,438.36957,169.95644,44.099716,208.13728,29.634083,499.90668,506.94547,1
223.42139,224.10895,571.1851,568.2887,441.97824,459.62683,930.07184,935.8858,477.2707,450.0487,170.8394,45.23632,206.30519,27.611517,506.58167,513.95776,1
221.22801,225.35587,556.3674,555.6671,432.99048,448.7272,905.97034,911.65546,463.80377,443.52768,170.81471,41.175404,205.93979,25.261614,494.67896,502.19714,1
225.54869,224.47272,568.136,568.7702,455.64008,458.61978,929.2835,936.0018,473.1747,466.02313,171.6513,40.65977,205.98727,26.195074,511.88803,513.695,1
221.82733,218.11426,562.4409,566.4533,449.90085,458.69864,928.84534,939.82324,470.4116,463.96912,179.23143,40.55967,208.84534,26.67149,506.1709,512.576,1
207.61624,207.52806,494.72623,496.9117,404.035,403.47476,821.1933,828.68445,428.04272,409.84122,198.1138,44.398197,208.37195,29.090769,449.3806,450.19324,1
182.15475,180.30309,489.5047,487.7225,368.61853,351.6653,805.2775,798.85645,353.5243,399.07516,225.65956,45.1538,211.21298,26.675993,429.0616,419.6939,1
216.97247,222.38957,538.5801,540.7602,422.8429,431.31744,872.31287,881.0991,442.33038,439.27487,189.65361,39.87699,202.73955,26.702457,480.7115,486.03882,1
225.72484,225.95573,557.7574,557.046,446.1561,452.8242,911.80005,920.4893,471.95685,452.24524,166.85936,44.52621,204.67213,29.418499,501.95673,504.9351,1
225.54277,224.45222,563.4065,567.07294,446.90717,454.36,922.49866,932.6422,467.8231,458.74426,168.42723,39.56271,205.98615,25.414421,505.15683,510.71646,1
227.37405,227.62766,563.3649,563.89624,446.44443,452.26633,917.593,922.5985,462.0964,462.24908,165.98776,40.399677,204.75406,28.234089,504.90466,508.0813,1
225.01822,227.39023,559.97626,561.2006,441.96738,456.94733,912.7654,922.61884,472.49756,452.3614,170.97163,42.563854,206.57603,27.851305,500.97183,509.07397,1
218.36725,221.64532,555.7163,551.81104,422.44302,445.49344,907.937,914.93646,470.71506,423.62433,178.9256,47.907627,210.88565,31.983774,489.07965,498.65222,1
220.05382,225.50752,551.55273,549.03534,432.91525,452.9395,905.9762,910.8064,473.3983,438.3896,174.78162,42.644875,210.68237,29.29781,492.234,500.98743,1
219.8158,225.37668,586.6117,583.06287,454.27612,482.8411,978.4512,983.17993,502.4243,459.33945,169.80424,38.67979,211.2272,29.267063,520.4439,532.95197,1
216.17459,218.7194,617.1713,608.7369,490.98962,510.1567,1045.894,1039.4911,524.22705,500.39917,183.12755,39.11382,209.3452,29.494371,554.0805,559.4468,1
198.29477,202.62695,551.2684,547.4697,459.7113,465.6504,944.73425,944.65875,487.10364,464.9556,205.7304,47.057144,207.60237,26.632933,505.48984,506.5601,1
201.20636,215.20505,575.3954,558.59283,433.9629,462.82483,968.31726,958.8583,500.25256,423.96704,195.49352,69.14643,212.73416,52.048256,504.67914,510.70883,1
210.8388,219.52794,645.18774,628.3844,494.35547,513.3175,1089.6678,1069.529,529.7042,500.02487,168.68213,46.01591,207.68526,34.67075,569.7716,570.85095,1
212.45673,224.42184,671.86096,653.30493,527.9196,557.5432,1136.2039,1125.2125,588.2675,518.39246,176.11545,62.260315,214.42972,47.88701,599.89026,605.4241,1
136.78482,140.44643,479.10114,524.76416,432.47876,276.2906,875.6094,928.0253,286.43442,432.88257,94.77058,38.994278,190.28412,51.478012,455.78995,400.52737,1
262.96448,193.5476,426.32025,426.1397,621.3992,407.9191,838.2232,702.7524,307.23297,853.4285,598.1193,206.06812,515.266,261.6047,523.85974,417.0294,1
252.83377,188.60184,357.68256,338.83536,572.40784,370.44354,734.136,606.69745,295.48383,775.73016,543.28754,157.79385,472.84067,208.6123,465.0452,354.63947,1
244.05072,191.93788,338.6758,285.78973,512.25446,338.50455,669.07434,528.2849,283.522,688.3324,489.0752,114.73181,411.46796,131.90791,425.46515,312.14713,1
242.21269,184.27315,372.78943,328.89163,508.8555,328.61002,710.1567,574.1436,284.6287,698.97266,510.79025,143.8543,445.36963,174.08955,440.82248,328.75082,1
237.3726,183.50403,374.3645,328.05707,463.4813,305.1062,681.0482,548.8375,284.03424,644.6104,496.315,137.51562,425.48724,165.23288,418.9229,316.58163,1
239.74585,186.01134,395.10666,350.7892,466.29166,312.15073,710.60236,571.0465,281.86234,656.2062,505.04297,151.98727,429.85367,176.6707,430.69916,331.46997,1
254.7518,189.76485,440.8789,390.92548,526.61694,338.81436,796.7641,638.0363,275.7412,731.43964,531.83325,160.81053,464.5958,182.16072,483.74792,364.86993,1
257.32065,205.03122,446.99023,406.18643,533.1173,358.95724,809.3367,655.0796,274.727,741.927,530.3837,150.32527,448.71487,190.18163,490.05377,382.57184,1
258.4292,201.35193,461.67593,411.30753,550.83246,367.836,842.9908,674.76764,278.40405,766.0202,546.57416,149.79161,468.9146,181.90968,506.25418,389.57175,1
243.15445,201.72096,449.54208,419.3681,492.49826,338.2186,799.0881,654.51764,266.7433,702.62476,525.0203,166.33115,436.04916,204.52803,471.02017,378.79337,1
233.83217,195.64201,460.1748,438.67294,462.4874,325.30466,800.72754,672.73285,262.6208,664.85034,502.39145,164.06564,409.53058,209.60663,461.33112,381.9888,1
236.46544,201.06233,463.4244,430.36496,466.25537,328.27823,801.49084,655.7847,266.46252,674.5983,519.7598,162.43571,420.3952,201.44412,464.8399,379.3216,1
240.10956,204.41916,453.17032,421.64398,476.42792,330.46106,796.462,650.21906,258.84915,686.05255,523.4352,157.88219,420.65094,201.78383,464.7991,376.05252,1
225.56909,213.21608,454.526,424.71796,448.6195,337.90802,791.53577,643.7371,260.30493,651.9534,495.75546,158.7058,373.3219,202.3118,451.57275,381.313,1
236.5699,214.249,474.3937,424.20547,508.5652,360.59012,851.5322,667.6257,268.58908,732.40094,544.165,164.57903,434.57352,195.54344,491.47946,392.3978,1
223.27882,213.1888,461.44656,425.72534,455.12802,344.44186,809.9858,647.8236,265.93802,670.5421,519.3849,167.84045,390.5285,210.16766,458.2873,385.0836,1
202.4349,218.91002,447.51352,421.39218,323.60565,255.17915,713.0811,563.13654,243.60722,535.9494,511.2349,208.68388,345.7623,224.83734,385.55957,338.28568,1
224.25432,207.94702,422.40012,398.1299,382.6493,289.1726,717.78326,584.71796,246.44034,580.565,478.74338,177.87865,357.03607,206.55022,402.52472,343.65128,1
224.12616,210.7928,424.22623,387.66708,384.24185,290.75598,718.4082,569.71216,253.40619,585.2584,490.02078,177.53323,363.19617,196.37938,404.23404,339.21152,1
228.64519,206.18826,413.9263,368.50092,403.09805,295.63406,715.13855,561.0848,252.69536,607.8044,502.76364,166.76537,382.79953,183.02902,408.51218,332.0675,1
230.72623,210.15471,407.0644,371.10898,391.6795,291.1237,700.30286,554.1777,257.55862,594.239,503.35797,171.72333,377.1681,194.79558,399.37195,331.11633,1
208.74245,197.81387,428.53195,404.0036,350.3153,270.65363,710.0035,577.4185,252.08481,551.10986,492.7013,198.1859,351.07913,213.10564,389.42365,337.3286,1
199.58287,206.2039,425.59534,400.6635,308.9994,255.59996,685.9618,551.0045,247.27692,508.86642,478.1308,201.71246,328.05154,213.3975,367.29736,328.13174,1
231.61166,212.04103,394.75934,359.2973,353.94485,272.09473,666.3851,533.10956,246.84985,551.38495,478.58795,172.83617,351.43558,189.31049,374.3521,315.696,1
225.22095,211.59676,395.05154,357.9415,357.60178,279.51736,672.443,536.2064,247.18523,551.83386,471.43594,171.1152,341.39493,185.5067,376.32666,318.72943,1
217.95792,209.75156,399.4417,359.61655,339.20715,270.89487,672.85394,529.4859,256.3323,534.40955,482.36993,178.90921,339.20645,184.18475,369.32443,315.2557,1
219.48758,213.82645,409.99002,368.65076,344.76123,275.3798,686.43225,537.39496,252.68443,543.2477,483.64304,182.27011,338.98074,188.89557,377.37564,322.0153,1
219.46803,209.3475,399.82803,372.63107,331.71295,263.63684,668.14825,537.11224,255.19029,520.32043,469.42953,188.00496,332.36688,198.08186,365.7705,318.13394,1
210.7346,199.4901,433.5957,398.07422,348.66428,272.81393,717.535,573.2497,247.36823,549.58246,489.15677,187.18832,344.27628,197.9827,391.12997,335.4441,1
199.52968,206.18611,450.58112,417.2727,306.79843,239.54924,705.1035,557.834,242.11511,521.4165,506.66388,215.63539,350.12582,215.05742,378.68976,328.41098,1
219.04823,217.73912,395.88284,362.78604,323.01776,265.70804,662.9048,527.73694,249.87741,519.1892,478.913,180.46396,326.82675,195.81404,359.4503,314.24704,1
221.06735,217.11462,387.8065,360.20245,336.21686,275.98795,657.058,528.7692,251.1976,528.4003,468.2189,180.11717,323.8531,199.72223,362.01166,318.09518,1
218.49666,205.87656,370.5206,344.4316,358.7313,280.69614,651.9487,529.76337,252.66814,552.5124,472.60086,181.31235,339.43085,202.47528,364.62595,312.56387,1
224.85649,205.41713,371.08047,361.18237,418.02826,315.99857,673.73755,560.49774,258.46054,620.1839,490.94077,187.48662,373.47897,229.92339,394.55438,338.59045,1
237.62807,198.25757,389.89798,347.09665,439.99963,307.45053,682.455,531.1764,284.41995,635.8022,521.32544,168.12755,415.7147,185.74545,414.9488,327.2736,1
244.67569,181.2719,389.48694,338.33533,470.12506,299.84097,689.4193,535.60486,294.2688,659.04224,527.9559,170.95337,452.22763,178.47984,429.806,319.08813,1
175.38693,240.04326,295.05484,267.30176,235.70294,380.77225,417.13632,471.04587,572.1211,280.90582,501.86566,256.56723,438.91928,294.53036,265.37888,324.037,1
170.72768,227.60858,286.46533,262.15717,243.2556,370.25397,413.85025,465.30768,572.5389,294.9813,517.5307,266.2827,442.64343,304.5196,264.86047,316.20557,1
170.32454,244.8763,300.76096,276.47177,240.48343,398.17215,437.22968,489.9349,597.15497,278.19238,506.27374,252.12273,456.6587,287.73993,270.6222,337.32196,1
157.33243,250.10692,303.90018,272.11053,231.49327,393.92624,443.59863,483.5952,590.675,276.84393,503.0545,257.23953,465.9766,296.8967,267.69672,333.0184,1
160.96532,248.90439,290.07773,268.86072,232.47139,399.29144,436.47885,478.98434,602.43976,271.4354,512.4866,249.1315,469.02402,283.48895,261.27457,334.07608,1
153.4813,249.4172,267.56125,255.0167,242.73969,422.46524,435.40887,474.47546,618.54205,259.752,491.90582,234.8886,463.20642,273.36722,255.15047,338.74097,1
148.394,243.3789,305.64804,278.08936,221.36046,385.53726,447.99173,486.47443,585.6845,288.7474,513.48535,247.98375,483.25406,295.32266,263.50424,331.81332,1
155.49368,241.79588,317.8419,280.5406,225.2097,373.57852,450.92856,490.79434,581.7144,286.7345,517.0893,262.288,472.5727,309.38696,271.5258,327.05957,1
161.55199,252.6765,304.5571,251.1939,228.54749,380.99097,436.27542,459.89783,581.51385,285.55765,506.7904,283.12384,473.68573,338.90173,266.5523,316.0924,1
180.01709,257.28848,302.4919,253.87892,245.63463,401.14734,443.5258,472.11588,611.48175,273.65344,512.5412,277.7752,467.10254,333.93616,274.06326,327.51312,1
173.5434,228.75699,309.9315,281.64267,231.92177,357.70407,431.19006,487.44846,561.09015,288.0162,507.00684,250.5994,445.94156,294.58926,270.92664,319.67337,1
166.82014,248.63947,295.43793,266.28116,226.42058,373.45645,421.12418,469.2359,578.45337,297.77957,525.2808,256.82986,482.2646,300.433,260.92926,319.8688,1
172.86916,249.02325,303.3166,288.88968,221.71294,367.09842,417.97095,489.64822,578.70416,299.09683,540.3262,248.94391,486.95462,276.071,262.51477,327.99405,1
173.13243,254.93947,316.10294,278.6024,224.87636,379.46097,428.94812,481.62567,592.97894,293.29413,536.683,274.31042,492.29898,313.80493,270.48965,329.03168,1
168.6103,256.16687,306.8575,273.33954,223.51276,374.50226,418.55856,474.7695,584.3503,299.68,536.996,267.31958,495.38055,308.70453,265.18515,323.9209,1
186.45099,273.79028,280.46353,279.49786,220.4197,351.31097,413.58765,459.12665,567.3233,353.18738,565.0681,279.59644,531.5884,298.31018,250.4416,315.40442,1
165.34552,248.51186,289.1325,264.66974,224.28793,377.57574,421.31223,472.8103,578.26886,287.0811,515.4551,247.99564,475.7939,285.29007,256.7102,321.12274,1
160.61089,248.90637,301.80698,263.61038,226.79938,379.7779,434.8663,471.74033,585.9858,279.39703,512.3355,275.13547,473.3916,318.51395,264.30316,321.69412,1
162.55019,247.33759,280.88583,249.15909,227.03822,367.78882,420.288,449.96738,573.6833,282.00284,505.28015,268.63913,459.76028,310.137,253.96204,308.47397,1
160.01605,247.74107,282.8882,245.03397,225.90149,376.97546,429.75793,448.5632,581.73724,272.55618,497.1646,280.5135,459.58017,331.59448,254.39485,311.00473,1
158.98946,243.11617,293.37952,245.12213,214.67393,358.41367,430.90573,442.99396,560.09906,273.0581,489.88348,288.71664,453.3183,347.38333,254.02672,301.76788,1
161.77469,235.64633,345.75888,273.58774,216.68468,357.1025,480.43335,491.0484,567.0089,247.51048,486.68762,292.5064,437.3645,352.41083,281.22177,315.34512,1
186.88712,294.1519,287.08353,284.6684,218.7201,387.7833,420.47787,474.71674,605.0176,333.65945,567.78723,274.56125,548.63965,293.50955,252.90181,336.22583,1
153.8306,212.42928,301.8448,251.17085,206.40515,322.1366,456.7522,456.14285,506.30075,216.97699,411.62177,260.3634,372.73367,313.4418,254.12497,286.65372,1
170.3152,209.1927,297.3327,251.19365,208.99092,309.84784,442.8236,454.92996,507.35635,238.23222,443.69418,268.0615,381.38437,323.577,253.1618,280.52075,1
172.8205,200.69257,313.29596,267.3972,218.6044,309.80292,458.27286,480.1285,505.6196,234.85136,441.0189,256.3885,365.38376,308.87378,265.9502,288.60004,1
163.691,208.0157,307.94617,261.53177,207.65764,307.1501,454.12772,466.15527,491.0876,233.82486,420.31006,250.30147,364.3053,306.7071,257.8019,284.34094,1
174.70357,218.38794,292.44473,257.27905,223.51967,340.83405,447.11655,472.77786,547.6746,231.45322,460.27576,258.86346,396.19757,305.00015,257.9822,299.05655,1
162.40462,214.0046,313.807,282.398,206.48965,316.66672,457.98145,488.56738,505.40897,234.37247,432.12573,241.224,382.58206,278.43558,260.14832,299.53235,1
152.85393,200.5476,284.6478,259.9682,197.33908,292.81158,433.2239,457.43768,472.54382,223.08003,411.31967,239.86185,353.2744,275.02493,240.99344,276.3899,1
187.04904,267.69986,285.25922,286.34473,223.63412,359.2816,420.3849,477.90854,572.5982,351.77054,565.3364,272.90128,523.11554,289.66135,254.44667,322.81314,1
