left_shoulder_left_wrist,right_shoulder_right_wrist,left_hip_left_ankle,right_hip_right_ankle,left_hip_left_wrist,right_hip_right_wrist,left_shoulder_left_ankle,right_shoulder_right_ankle,left_hip_right_wrist,right_hip_left_wrist,left_elbow_right_elbow,left_knee_right_knee,left_wrist_right_wrist,left_ankle_right_ankle,left_hip_avg_left_wrist_left_ankle,right_hip_avg_right_wrist_right_ankle,pose
446.73657,378.98505,247.1734,332.9969,493.6655,456.1982,399.6987,457.57104,611.65186,351.8172,256.45016,283.46243,128.09158,374.47366,370.41946,394.59753,1
448.77698,276.59222,232.19614,340.99435,519.1461,387.1649,347.95746,420.11685,534.0443,379.42453,211.62048,317.20065,36.455402,374.50714,375.6711,364.07962,1
452.23853,359.59836,243.44318,323.97104,518.382,450.40372,384.30313,441.50104,592.5234,387.22144,224.53314,285.70926,86.48049,350.67276,380.91263,387.18738,1
417.74167,350.17117,258.00198,317.46402,451.21643,418.353,413.31967,464.4036,563.7286,323.9068,257.60593,283.40857,126.90033,387.95276,354.60922,367.9085,1
417.9952,361.89124,264.70416,276.74628,427.05582,421.90607,424.2294,446.90744,564.8602,304.547,285.5799,217.4883,152.40567,293.82376,345.87997,349.32617,1
423.83322,393.2955,275.86243,277.6895,417.84772,435.1375,431.34546,446.9319,576.1729,298.25378,293.5864,237.50111,173.99156,325.23834,346.85507,356.4135,1
449.14496,417.08078,262.71393,271.79984,504.53305,491.39255,438.43066,444.228,621.7562,385.28876,233.31572,227.95842,128.0756,283.6148,383.6235,381.5962,1
404.44363,423.95193,283.8231,272.88193,391.24777,411.4306,441.49265,442.0727,489.6756,326.78864,185.72717,155.58533,114.736565,192.26427,337.53543,342.15628,1
387.80533,426.74063,286.8294,283.22156,399.87387,408.4414,449.8264,441.84656,454.31552,364.0394,145.49445,121.81174,75.40008,185.75977,343.35165,345.83148,1
380.30145,423.37592,287.4332,285.55515,382.48892,390.0793,454.43503,435.7304,394.44235,388.0176,141.69472,121.135925,54.07451,158.67738,334.96106,337.81723,1
296.11578,391.72168,273.20578,272.39014,320.5827,377.25092,454.06882,429.63385,328.97397,376.40573,153.23001,133.71536,46.21306,163.9961,296.89423,324.82053,1
256.65103,400.8105,270.8086,277.39368,317.27295,401.8544,454.76175,426.5944,321.86,402.22852,172.12825,164.90376,40.539177,195.44191,294.04077,339.62405,1
216.86824,392.41367,260.34738,282.16592,266.62708,367.8534,439.38602,417.40823,271.81293,367.97394,186.79698,207.594,38.964317,264.65555,263.48724,325.00964,1
252.70285,403.19324,261.2438,286.45322,301.46515,378.85126,437.39536,409.16843,264.6554,427.93546,219.96672,272.6838,61.2284,362.95337,281.3545,332.65222,1
228.7593,414.3833,280.25214,301.43787,282.03543,386.34177,452.21432,413.04468,264.6716,411.4596,217.61554,315.96744,44.578156,455.2615,281.14377,343.8898,1
224.40805,412.1152,271.82877,285.7215,271.44928,377.9514,449.71906,404.71548,263.2928,391.19272,205.51099,292.51978,34.656357,397.40063,271.639,331.83643,1
183.74133,405.4113,261.72333,249.44939,246.76749,385.03818,443.1772,392.3835,280.04205,348.58868,176.12634,232.07314,53.31283,297.30023,254.24539,317.24377,1
227.67233,445.62363,338.95844,254.0712,314.3576,448.8432,456.4583,395.3846,335.53336,431.17365,191.59201,237.28465,42.510056,285.3213,326.65802,351.4572,1
218.45139,430.66034,339.74326,260.6801,298.4132,433.33203,460.00955,401.41437,325.0457,408.6146,179.02545,235.51892,44.809002,271.25204,319.07825,347.00607,1
235.37614,401.13342,293.52435,250.55685,270.2544,369.40363,468.12903,401.38077,273.14984,372.71127,181.5295,220.54262,36.137413,306.6226,281.88937,309.98022,1
239.67491,408.13794,281.27243,263.0165,265.69305,367.421,465.52765,410.61108,269.75833,369.2194,181.44638,235.0286,33.686863,313.26974,273.48276,315.21875,1
222.62607,398.11368,290.1198,276.13693,246.83937,348.45224,474.695,416.04907,253.27242,345.79773,178.08951,255.53462,35.428818,357.3896,268.47958,312.2946,1
233.08952,415.05978,289.65085,271.2859,255.80522,358.1897,472.08658,416.4637,255.10995,364.6829,197.17863,249.01895,31.845444,347.81644,272.72803,314.7378,1
238.79126,414.21915,285.87637,282.60706,260.3062,356.70917,469.08505,414.48248,253.3093,370.49594,200.04892,255.76807,34.402756,367.40277,273.0913,319.6581,1
225.1942,413.92728,292.2066,273.86685,256.97607,363.1984,473.51617,414.99747,262.13852,362.21533,192.97078,256.32626,32.854843,371.32474,274.59134,318.53262,1
218.25233,390.2767,276.84457,258.2414,248.67076,339.71747,465.16275,409.61108,244.70749,352.13885,199.17673,228.6421,36.706123,301.54053,262.75766,298.97943,1
213.49605,444.85297,311.88147,237.08267,292.48712,442.21326,466.9921,389.62128,323.79083,411.6795,192.44656,267.41165,51.985626,369.8054,302.1843,339.64798,1
206.41965,463.7796,358.55783,275.05206,287.08722,454.22797,464.76883,414.229,334.47876,407.84308,185.8566,248.68723,62.57557,278.13272,322.82254,364.64,1
190.71783,421.26,314.5452,257.76508,251.94687,397.19547,471.25757,420.11386,286.55142,360.57776,178.79863,224.65594,54.57819,258.83475,283.24603,327.48026,1
223.7354,394.31174,277.78772,252.38512,242.45616,332.07098,463.5667,411.69595,242.38007,339.15988,186.37369,200.33214,36.51786,261.88937,260.12195,292.22803,1
231.54794,403.0729,293.1123,262.1657,247.28712,343.08023,475.5407,412.24203,241.66307,354.98276,191.34921,247.36731,32.781654,343.0946,270.19974,302.623,1
217.10202,400.93097,274.62262,263.45782,232.11784,330.56784,458.4939,414.64276,237.88547,328.65695,185.2977,211.17697,32.141846,286.18173,253.37024,297.01282,1
205.45819,393.44507,271.01865,261.98087,225.34105,320.2165,451.75125,413.69714,224.22249,328.05737,200.7758,202.69911,34.103485,274.14706,248.17984,291.09866,1
219.63643,391.27356,271.5858,260.70117,233.16367,313.69537,453.73856,416.47186,216.76193,342.9418,216.47774,201.96872,44.473946,270.24463,252.37473,287.19827,1
228.88432,406.95288,276.59094,275.27945,250.05132,345.27527,456.0868,407.7755,239.66832,364.68854,207.7784,249.34846,37.936466,354.1313,263.32114,310.27737,1
222.45879,399.14474,308.10226,256.03354,240.24933,333.94128,491.4811,414.9227,234.344,348.77014,201.6654,254.89551,37.600372,358.5217,274.1758,294.9874,1
225.78142,452.3739,331.1283,228.34361,320.37207,471.82294,460.6111,381.8378,355.19498,439.313,188.32538,280.5382,57.370903,376.59964,325.75018,350.08328,1
236.14108,457.15363,315.62204,247.38277,314.39462,470.65588,450.5312,394.9964,358.60754,428.64914,173.85036,238.01514,57.770008,269.39734,315.00833,359.01932,1
207.93018,396.20398,289.32422,247.13834,243.2621,361.91052,466.57407,403.17065,269.84174,337.4587,166.96277,218.34111,45.066555,282.6677,266.29318,304.52444,1
208.8406,386.22452,283.82556,263.12256,226.53389,334.30023,468.27274,411.04486,244.12383,318.97446,168.85878,231.97217,41.010033,305.99573,255.17972,298.7114,1
200.27289,397.60077,280.90576,266.232,213.64854,334.81952,464.36334,416.15082,240.44757,307.127,170.78342,221.16771,46.309723,295.7494,247.27715,300.52576,1
188.9706,394.1174,279.1728,270.20557,205.88304,327.222,459.6145,411.7725,231.7859,299.97995,176.1596,225.69624,46.408764,308.64642,242.52791,298.71378,1
197.23535,387.61176,277.28036,261.63147,206.56215,317.35455,461.3919,416.63898,229.49118,294.18207,169.23167,209.23183,43.51853,269.9781,241.92126,289.493,1
195.58672,387.93842,287.61484,265.94852,208.78253,322.16116,471.535,412.99997,233.36255,297.28702,170.15012,228.033,44.205235,320.00525,248.19868,294.05484,1
198.3375,382.26196,280.3473,259.87894,214.67625,317.72095,464.4017,415.5523,227.9213,306.01547,176.39989,219.42433,39.114784,284.59348,247.51178,288.79996,1
197.07945,384.39975,277.3914,256.14783,217.7229,319.96255,462.42926,412.67145,230.70633,309.45947,181.08862,207.57518,38.94171,276.29935,247.55714,288.0552,1
213.5174,454.49396,327.38034,234.96559,278.2782,446.24234,471.63055,391.2337,327.4952,396.34875,178.46826,283.6768,65.15035,365.6217,302.82928,340.60397,1
183.07394,467.00827,381.74884,240.85808,290.56705,488.6919,462.18173,369.81552,371.33597,404.3174,170.82869,285.61328,95.198326,341.49786,336.15793,364.775,1
186.68103,464.5434,344.13354,252.61365,288.86026,486.0085,460.927,396.52768,364.92517,405.73727,171.99467,257.0819,92.44456,303.29675,316.4969,369.31107,1
204.95683,421.35968,287.0142,250.23509,257.96307,390.97525,458.79898,415.48297,283.4898,365.58167,185.96045,202.05492,45.72189,237.63866,272.48865,320.60516,1
201.17415,385.58267,289.59732,252.84943,224.03102,324.0385,474.8641,411.22592,234.16173,319.2636,186.28798,215.66301,35.852303,287.7283,256.81418,288.44397,1
177.5683,396.40247,299.82462,266.88593,211.34534,340.93246,483.50577,409.68332,243.63902,301.29477,169.23894,265.74887,61.386696,368.48102,255.58498,303.90918,1
193.64613,392.3132,276.59225,268.94193,214.6733,327.18698,460.57303,413.07443,232.41747,308.89603,179.525,232.63445,42.197784,301.9409,245.63278,298.06445,1
208.28339,392.55527,284.61508,273.12183,227.72585,329.46555,464.95013,409.68774,226.1814,337.39096,200.4316,251.60953,36.425976,343.5827,256.17047,301.2937,1
194.33813,385.44815,282.97598,261.9624,212.4003,319.829,466.76514,410.57364,227.09183,306.44492,180.42368,228.28716,38.355217,302.66483,247.68814,290.8957,1
200.63448,385.20883,276.31354,258.77908,219.38393,320.85358,460.92258,413.82462,225.83769,318.55692,190.33078,214.45915,33.421494,265.59174,247.84872,289.81635,1
221.50389,399.92352,288.77072,249.5116,243.8189,347.66446,474.80536,409.72717,251.6513,345.2938,188.43188,225.2628,33.50855,291.35077,266.2948,298.588,1
216.06705,461.23837,359.70624,240.7246,310.5099,478.26306,474.4512,392.1344,361.20584,426.49268,178.40979,273.15784,66.410255,342.928,335.10806,359.49384,1
199.2646,444.9241,334.8668,266.3805,307.64523,469.57462,446.96454,400.63962,353.141,423.5793,180.4559,225.65086,62.04995,255.79639,321.256,367.97754,1
183.13931,421.70346,303.81125,239.7962,245.48265,400.84567,464.06415,398.26245,286.6354,358.14615,185.45776,229.08992,61.254856,289.42786,274.64694,320.32095,1
217.74107,387.2828,307.6471,245.29091,232.5362,327.37558,489.88803,411.61703,236.32916,331.50046,186.74739,222.51811,38.383114,301.55402,270.09164,286.33325,1
218.40569,383.02393,281.69174,250.44069,225.81416,313.40213,467.38367,414.54697,221.75769,325.7275,195.27315,195.32878,36.93511,252.02606,253.75296,281.92142,1
216.24986,375.6752,290.87057,262.79163,227.33316,315.0046,472.27213,407.4364,220.15202,330.01553,193.15761,244.6335,40.935062,334.10043,259.10187,288.8981,1
229.2641,398.00208,288.46445,258.63477,224.13503,315.50558,474.16757,411.98685,214.54399,334.01654,204.06577,233.10178,36.37325,316.95654,256.29974,287.07016,1
217.98978,392.23608,287.258,269.30615,231.99153,330.7995,464.79904,403.60443,223.07306,348.18805,209.90942,265.77783,39.853966,367.196,259.62476,300.05283,1
