left_shoulder_left_wrist,right_shoulder_right_wrist,left_hip_left_ankle,right_hip_right_ankle,left_hip_left_wrist,right_hip_right_wrist,left_shoulder_left_ankle,right_shoulder_right_ankle,left_hip_right_wrist,right_hip_left_wrist,left_elbow_right_elbow,left_knee_right_knee,left_wrist_right_wrist,left_ankle_right_ankle,left_hip_avg_left_wrist_left_ankle,right_hip_avg_right_wrist_right_ankle,pose
246.79993,172.70511,265.52155,251.88206,367.53003,262.48773,462.4763,395.9871,298.5808,518.6678,435.59448,238.19135,540.09814,295.47083,316.5258,257.1849,1
242.90411,179.56851,290.77496,270.8057,352.9016,267.5246,478.29752,411.62302,292.43277,484.45682,388.4861,214.8316,508.0392,284.42694,321.8383,269.16516,1
247.80835,164.08365,255.85684,209.18655,333.73697,256.43115,433.29333,368.7765,331.46054,496.4538,468.243,214.1836,563.8591,281.49185,294.7969,232.80885,1
237.46964,170.7573,263.2844,210.13588,319.67197,258.66852,437.909,367.42593,321.05768,477.37552,447.2192,211.26064,536.23096,278.74243,291.47818,234.4022,1
252.74557,156.76932,257.81516,207.69913,336.89578,254.35214,437.12332,367.81674,343.70178,502.87088,487.3281,211.6105,586.15686,278.8212,297.35547,231.02563,1
247.96277,149.60886,267.50037,209.297,330.3193,255.19543,446.1386,369.55856,361.2004,495.733,501.2064,208.08553,607.53467,273.1997,298.90985,232.24622,1
234.51701,149.06058,264.52042,209.51254,312.81137,256.2546,441.3202,367.78815,357.19308,471.66373,479.38947,207.253,585.3283,273.32062,288.6659,232.88358,1
232.76758,169.08127,255.82285,209.79855,312.95007,257.91028,433.97375,367.2638,327.62622,470.74918,452.28104,210.69815,540.75836,277.8592,284.38647,233.85442,1
251.36751,181.11304,259.20837,212.19084,336.97522,298.2299,440.3314,365.80865,443.61563,502.17487,545.9989,212.6289,713.4399,282.57657,298.0918,255.21037,1
255.1162,145.80864,278.65533,213.7267,346.00235,257.62747,462.05615,365.92892,366.36945,516.8882,513.1151,207.31772,631.55194,273.86115,312.32886,235.6771,1
253.03369,152.10411,286.34195,215.11641,345.36932,267.74234,469.7443,364.9179,394.37213,516.5631,529.2852,207.96838,665.55646,273.2065,315.85565,241.42937,1
232.95973,148.39949,257.75366,210.87143,315.17975,263.20712,438.8018,367.30563,375.44693,478.77786,498.76117,211.5003,609.79755,279.4946,286.4667,237.03928,1
253.65479,206.03232,281.58932,214.79974,346.90164,283.46872,457.61072,364.74728,301.03952,473.49652,379.79575,196.53545,491.93243,277.38403,314.24548,249.13423,1
231.67982,145.28964,265.2726,211.72594,313.44745,260.18314,445.8038,367.6487,372.164,475.63297,494.59875,209.01663,605.4767,278.20352,289.36002,235.95453,1
227.6225,152.69946,273.11807,211.46939,308.9493,258.55725,450.41995,368.14578,357.33636,470.6167,482.73557,203.15712,580.95154,274.00717,291.0337,235.01332,1
229.2344,156.90445,285.27606,210.89188,305.19357,258.89987,459.79584,375.37637,348.26315,461.20117,468.43695,194.78418,563.2658,270.1155,295.23483,234.89587,1
243.39973,146.95303,291.37073,210.91338,328.97726,263.0483,470.32993,370.00195,373.99045,488.55652,501.56665,195.6937,622.1846,269.56693,310.174,236.98085,1
233.06459,155.93953,282.80768,211.98602,311.23886,259.48602,460.15805,373.57886,350.50842,470.00516,476.29532,196.83119,573.3296,269.5822,297.02325,235.73602,1
246.15344,150.56995,272.52097,215.8896,333.2428,261.80576,455.64493,367.85217,368.65897,501.53357,504.87338,211.06386,618.17346,278.87332,302.88187,238.84769,1
236.31218,148.36382,294.07224,211.84444,320.75406,262.71393,472.97327,369.14896,367.69974,482.16327,494.36752,198.49358,603.4447,270.08072,307.41315,237.27917,1
237.91861,147.42584,291.92416,212.13966,323.27496,266.0031,471.38385,367.87488,378.33966,483.2469,500.38168,197.02791,619.98895,269.5934,307.59958,239.07138,1
229.64018,159.05896,287.34796,213.54901,311.51025,260.2386,464.77982,372.22424,341.5905,469.8609,467.51056,196.12346,560.774,269.71536,299.4291,236.89381,1
240.11566,165.39258,278.7391,220.7861,334.87582,282.2397,470.77307,368.67117,421.096,510.46237,545.8454,214.64928,685.7797,279.96188,306.80746,251.5129,1
230.85017,181.95683,260.45193,200.27328,306.7919,262.32016,424.91742,359.54077,307.57104,440.94653,392.87656,208.81767,495.9193,281.65503,283.62192,231.29672,1
236.80656,181.0112,288.0438,207.94884,319.31607,304.39487,475.6717,369.1148,457.04153,495.90234,563.1108,199.64647,711.05334,268.38074,303.67993,256.17184,1
259.6517,187.71382,290.4731,215.30222,359.71225,297.51062,489.5844,365.15384,447.21924,540.4533,583.0283,223.19838,748.05365,267.64526,325.09268,256.40643,1
195.42384,262.1582,298.09097,262.29446,284.4082,333.27386,512.7948,399.6576,485.79932,446.60602,554.743,227.30249,722.50604,254.1794,291.24957,297.78418,1
262.8787,212.51497,275.67435,375.3846,360.7343,264.82114,481.63422,485.0511,454.8316,574.6552,608.0703,395.5496,776.6102,466.9853,318.20435,320.10287,1
249.37393,188.69888,295.61667,205.60374,338.52438,272.85217,467.9759,358.2477,315.07538,483.9077,424.53534,212.501,525.5917,287.02426,317.07053,239.22797,1
232.05219,177.78568,305.92816,206.30986,317.13406,261.26755,475.04517,358.41782,303.9261,448.327,395.99203,222.83905,499.78058,299.7067,311.53113,233.7887,1
236.0881,176.4779,296.52396,206.4741,320.01266,258.72635,467.23087,355.12897,306.55515,460.44363,409.47855,207.4386,513.0469,280.95905,308.2683,232.60022,1
231.7139,168.28505,297.96875,210.39653,311.6034,254.43002,465.19147,360.40347,307.02737,447.59866,399.19067,209.73318,510.7986,290.47684,304.78607,232.41328,1
226.048,176.78854,317.45663,206.86906,312.1562,258.59525,485.8686,355.34183,299.26895,437.31924,383.26367,213.0417,494.93314,302.14993,314.80643,232.73215,1
231.56287,157.7355,284.8727,203.96931,314.3281,246.54286,457.84082,354.97437,315.4771,455.61905,427.30927,205.68652,531.8713,279.72232,299.6004,225.25609,1
235.34598,163.19406,332.27887,205.76636,319.75858,253.96544,501.5396,358.11108,316.41425,463.26654,430.01257,218.69052,532.0329,307.6913,326.0187,229.86589,1
