right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
58.0,22.36,68.75,133.0,94.8,130.8,110.1,1
62.53,22.39,72.3,126.8,93.56,131.5,107.25,1
59.72,22.52,70.7,123.44,90.94,129.6,108.1,1
51.78,18.73,66.3,134.1,95.2,129.1,111.7,1
50.84,19.55,65.6,134.9,99.4,129.5,112.94,1
47.25,20.62,67.44,135.6,90.2,129.1,114.6,1
41.03,18.8,61.84,137.1,99.2,131.1,116.0,1
37.78,17.56,66.3,136.5,89.56,126.5,118.3,1
46.3,19.97,64.94,137.9,95.56,131.2,117.1,1
46.38,19.33,67.75,134.2,91.2,129.9,116.44,1
51.44,18.69,69.94,133.1,88.7,129.6,112.25,1
44.5,20.66,64.6,136.8,92.2,130.1,114.9,1
42.6,21.33,65.0,135.1,91.2,128.6,117.1,1
47.28,20.7,64.3,133.5,94.5,130.4,113.9,1
42.2,19.14,65.06,135.4,91.6,128.9,115.44,1
42.22,19.5,63.06,135.6,93.5,127.8,115.0,1
40.0,18.03,59.6,133.9,97.4,129.5,116.25,1
20.81,56.06,17.33,117.5,149.5,162.6,154.5,1
17.48,34.97,33.3,112.0,118.75,158.0,146.1,1
25.45,42.4,35.72,98.6,96.56,143.1,137.9,1
20.33,14.125,33.03,104.6,102.94,138.8,159.1,1
16.66,17.75,41.47,101.56,101.8,138.2,139.5,1
18.12,17.5,44.7,88.06,100.8,131.0,137.5,1
19.31,21.8,46.38,63.47,69.6,130.2,134.5,1
18.05,17.83,46.62,62.44,71.8,131.4,129.6,1
17.31,16.92,47.5,62.22,77.1,132.6,130.4,1
17.83,16.94,49.84,67.5,83.06,129.8,127.06,1
17.7,17.33,49.47,70.56,84.56,130.0,132.0,1
18.58,18.1,47.56,65.06,78.94,129.5,132.4,1
17.05,18.19,48.97,68.94,83.56,132.4,136.2,1
19.97,20.05,50.1,66.6,79.7,131.1,131.0,1
20.34,19.95,49.16,67.9,83.9,130.2,131.8,1
18.33,16.6,51.12,69.25,82.56,127.8,128.6,1
19.97,19.19,49.22,68.5,81.3,130.6,130.5,1
19.27,18.77,50.12,65.7,78.0,129.6,129.6,1
