right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
83.4,84.7,84.2,140.5,140.2,165.9,110.56,1
87.56,92.0,83.6,139.2,138.6,167.5,108.75,1
95.1,86.0,7.516,176.8,174.6,156.1,147.8,1
98.75,84.1,6.9,173.2,177.1,157.1,144.5,1
88.3,86.9,6.64,174.2,174.0,150.4,143.8,1
86.56,91.7,7.055,173.0,172.6,144.5,145.5,1
81.06,90.44,6.63,172.8,173.0,146.1,150.6,1
89.75,85.7,6.93,173.0,172.9,160.0,149.4,1
88.7,88.75,6.547,173.5,174.5,155.2,154.1,1
98.8,87.4,6.848,173.4,174.8,165.5,152.6,1
95.6,82.6,7.145,172.2,173.2,167.9,157.5,1
96.2,83.4,7.395,172.5,172.1,171.2,157.0,1
91.6,80.6,7.41,172.2,171.8,167.1,155.6,1
88.06,81.3,8.305,174.5,174.6,156.4,147.6,1
88.94,82.0,8.49,175.9,177.9,150.5,145.5,1
95.56,83.9,8.664,173.4,175.9,173.9,159.9,1
93.94,80.3,8.36,172.0,174.1,175.1,160.0,1
93.56,83.5,8.04,172.4,173.6,174.5,162.5,1
92.94,84.3,8.52,171.9,175.5,169.9,159.5,1
91.9,84.06,8.18,172.5,175.0,169.2,158.9,1
92.2,87.1,8.03,173.0,174.8,169.4,158.2,1
93.56,86.4,8.51,172.9,174.6,171.6,159.6,1
89.1,83.75,9.83,175.9,175.6,162.8,151.2,1
73.06,77.9,10.125,173.0,175.1,135.9,134.2,1
88.94,84.56,8.7,175.6,175.5,162.0,151.2,1
91.4,85.9,8.52,173.5,175.1,170.1,159.8,1
91.7,86.0,8.18,172.2,174.5,170.0,161.4,1
90.7,86.4,8.28,172.1,173.9,167.2,161.2,1
92.3,84.75,8.54,173.1,175.5,169.0,158.4,1
92.25,81.2,8.695,172.1,174.0,174.1,159.0,1
92.9,83.75,8.164,172.9,173.6,171.4,160.4,1
94.06,81.2,7.8,169.9,172.6,174.9,161.2,1
93.06,83.6,7.805,170.2,173.2,168.9,159.0,1
90.56,85.7,9.82,173.1,174.5,155.0,149.2,1
85.75,73.5,10.43,171.5,175.1,163.0,148.9,1
85.2,76.0,6.883,173.8,174.5,159.2,153.0,1
90.06,78.25,7.387,172.8,174.6,160.9,149.4,1
15.71,62.97,9.48,175.4,176.5,163.0,129.0,1
68.1,131.9,39.66,163.5,169.1,91.3,154.4,1
67.7,129.6,40.9,157.9,161.6,99.06,155.2,1
69.75,123.44,37.44,148.9,166.5,107.1,148.8,1
65.44,123.2,38.38,154.8,168.4,100.75,157.0,1
66.8,118.7,35.28,157.6,167.8,102.1,156.1,1
66.94,117.9,35.16,159.9,170.4,101.94,156.6,1
65.5,120.6,33.6,158.6,171.5,98.44,162.1,1
69.8,120.75,29.83,159.0,173.8,100.44,162.6,1
66.9,121.7,28.67,159.5,174.9,97.6,161.5,1
66.25,114.25,33.25,160.0,174.2,98.56,158.6,1
59.03,108.0,32.12,161.2,173.5,94.1,161.1,1
61.94,110.5,30.83,161.4,174.1,95.25,159.5,1
63.84,111.75,30.23,160.5,173.9,97.75,157.1,1
67.44,109.5,28.95,163.6,171.1,105.3,154.8,1
69.56,118.25,28.03,162.8,173.6,105.1,154.5,1
68.5,109.75,30.86,162.0,173.8,101.56,153.8,1
52.28,83.7,42.16,165.4,169.8,101.0,126.4,1
63.8,97.6,38.9,160.5,169.8,106.2,153.8,1
65.8,99.44,37.84,161.5,169.1,108.25,150.2,1
65.9,103.2,36.44,161.2,170.5,106.2,149.0,1
64.1,98.4,39.3,162.6,170.4,104.8,146.8,1
52.22,89.3,40.28,168.1,170.9,96.9,132.8,1
55.97,80.06,44.03,162.9,167.1,102.56,130.9,1
63.97,93.94,43.8,157.5,170.0,108.9,154.4,1
65.6,95.75,42.94,158.9,168.9,109.8,151.8,1
66.1,93.1,43.56,161.5,169.1,109.9,143.9,1
65.3,92.75,44.03,159.2,169.1,110.25,144.6,1
65.7,91.0,47.5,160.9,168.1,110.1,147.5,1
52.84,88.4,38.25,164.5,168.6,97.94,135.4,1
48.4,79.25,43.34,165.2,166.6,97.3,124.5,1
65.44,91.2,43.75,160.1,170.6,111.44,145.2,1
68.4,91.9,44.75,160.1,168.6,113.4,147.1,1
67.0,97.4,48.38,158.6,167.0,110.94,146.4,1
68.5,109.25,45.5,161.6,166.5,107.0,148.2,1
79.94,114.4,38.84,161.2,166.4,108.6,144.4,1
78.1,119.56,41.16,154.5,169.5,104.56,148.4,1
113.0,85.1,87.56,153.0,153.6,162.6,98.1,1
113.3,91.8,92.5,149.9,149.4,161.5,91.44,1
115.9,78.1,83.8,155.1,154.8,167.1,97.0,1
113.06,79.5,85.1,156.9,160.5,167.5,94.5,1
116.4,79.3,86.6,155.1,154.9,168.9,91.5,1
119.44,72.06,85.75,160.1,154.4,167.4,91.6,1
112.1,76.4,83.44,162.6,157.0,167.1,86.9,1
109.4,79.94,85.2,160.5,159.5,169.8,88.0,1
108.6,83.75,95.44,157.2,162.4,170.2,96.5,1
114.3,81.7,91.94,159.4,162.1,169.2,106.94,1
110.9,85.9,79.44,161.1,160.5,165.2,102.56,1
110.75,84.44,85.0,160.5,160.0,166.0,101.7,1
108.25,85.2,78.75,161.8,160.4,163.5,101.5,1
110.9,83.44,84.1,162.1,163.9,163.1,102.1,1
109.4,86.44,85.4,160.4,162.2,164.5,101.8,1
94.6,94.06,89.56,137.9,139.2,163.5,100.7,1
110.06,80.94,83.2,159.5,160.6,166.8,100.6,1
111.56,80.2,92.3,153.6,158.0,169.0,94.75,1
109.0,81.2,95.3,151.4,155.8,168.9,95.25,1
110.25,78.8,97.7,150.2,154.8,170.9,95.5,1
104.75,76.25,99.0,148.4,155.1,168.6,96.2,1
99.0,64.25,89.06,159.5,165.8,159.8,93.4,1
99.2,89.44,87.7,143.6,143.9,166.1,100.75,1
94.6,54.84,90.06,153.1,161.0,160.5,99.6,1
95.5,64.1,92.25,157.2,157.8,169.5,99.75,1
96.56,66.7,85.0,162.0,163.2,168.5,97.9,1
