left_shoulder_left_wrist,right_shoulder_right_wrist,left_hip_left_ankle,right_hip_right_ankle,left_hip_left_wrist,right_hip_right_wrist,left_shoulder_left_ankle,right_shoulder_right_ankle,left_hip_right_wrist,right_hip_left_wrist,left_elbow_right_elbow,left_knee_right_knee,left_wrist_right_wrist,left_ankle_right_ankle,left_hip_avg_left_wrist_left_ankle,right_hip_avg_right_wrist_right_ankle,pose
37.386246,39.59131,54.588455,55.204807,79.60368,80.068726,96.459496,95.8032,82.02051,80.005196,22.374397,6.555369,28.801584,7.220368,67.09607,67.636765,1
38.378227,40.95659,55.77781,55.727753,80.6561,81.63055,97.49438,96.63247,82.89786,81.87752,22.155233,5.3936043,28.941803,5.909667,68.21696,68.67915,1
38.12528,38.80135,50.520683,51.638504,80.227646,80.68699,93.18992,93.79362,81.38593,82.077866,21.74303,6.208376,29.603662,5.5096793,65.37417,66.16275,1
40.46589,38.07648,52.564644,53.284794,83.10856,80.82342,95.36791,96.16891,80.013,86.5484,23.80977,7.3105044,30.460852,7.240206,67.8366,67.05411,1
44.3141,38.607277,45.192463,52.325665,87.99695,81.59188,88.87054,95.91684,81.44051,91.016945,25.232132,14.845087,32.90777,13.950573,66.5947,66.95877,1
43.725803,34.087746,48.70317,46.97613,83.012535,73.46182,87.691376,85.891136,72.4589,88.4465,31.2721,11.186706,35.962276,8.328314,65.85786,60.218975,1
44.696663,36.783134,54.58865,55.486786,84.19085,77.442856,95.00025,95.546,75.373085,89.844986,26.795942,18.291979,32.188946,32.84275,69.38975,66.46482,1
48.058247,37.939404,60.347977,55.605267,87.09129,80.94361,100.38842,98.70315,77.631615,95.652954,30.065702,16.179968,36.914963,17.845907,73.719635,68.27444,1
43.76992,33.132156,50.14974,47.458393,83.6481,71.25819,91.633064,85.12915,82.01987,96.432655,66.57617,27.197157,77.070625,32.15189,66.89892,59.358288,1
50.25139,35.90137,41.50297,45.59422,94.60836,74.42204,83.84239,79.315094,80.99838,105.9067,61.223797,43.705967,68.68665,29.327438,68.055664,60.00813,1
36.54722,21.674013,43.71784,65.92743,4.952708,39.865597,81.49073,107.03502,60.457645,25.710958,58.03531,27.91525,56.955875,43.10872,24.335272,52.896515,1
31.708225,24.900848,24.25938,67.89407,68.02895,65.71735,57.650974,108.68378,63.785275,74.67546,30.637892,25.662706,28.808247,56.236526,46.14417,66.80571,1
39.836357,35.024742,63.67927,69.18269,6.4319725,72.934906,99.17497,113.71622,90.289406,29.781908,80.8496,22.442768,93.78595,26.020332,35.055622,71.0588,1
39.205334,33.401535,32.546154,32.709984,80.76131,73.12872,73.97966,70.686455,77.25606,91.98745,48.981895,39.11295,49.787918,32.779602,56.653732,52.91935,1
46.4631,32.96931,41.091713,44.01331,87.88991,70.417656,80.57248,78.74446,80.68886,98.51698,58.126312,38.63465,71.12004,24.413824,64.49081,57.215485,1
108.038704,117.799286,177.69293,179.06361,111.710526,115.18585,193.9679,204.41924,164.74957,80.5691,88.859406,58.450207,73.96213,48.305332,144.70174,147.12473,1
53.867172,17.113705,137.52864,133.13142,46.41117,64.55507,197.80101,190.12144,47.459568,80.703865,78.30108,47.896107,33.896862,38.224155,91.96991,98.84324,1
40.44584,39.739857,344.6662,331.64746,127.39398,140.62578,462.33905,454.00815,166.57039,118.33476,71.14312,56.49622,68.859886,40.204357,236.03009,236.13661,1
61.540253,62.52624,60.353287,61.44505,110.67405,109.770706,109.52676,108.903885,100.21807,122.26149,26.176964,17.086714,23.029219,19.279083,85.513664,85.60788,1
34.466526,35.079712,34.40804,43.977325,66.55468,63.599358,72.89018,78.45504,68.18274,62.88778,8.071933,21.9648,6.213226,32.179123,50.481358,53.78834,1
47.200924,38.39729,62.979168,62.38482,84.38902,77.86062,100.04797,99.800545,76.53789,90.51781,29.867886,12.513555,32.137245,13.450139,73.6841,70.12272,1
48.02721,39.02196,51.253994,55.4092,94.79715,79.351395,97.71499,96.863655,76.280495,98.78518,24.954754,15.889083,21.225538,15.879916,73.02557,67.380295,1
33.09079,39.58607,53.758747,60.354973,71.75153,82.462944,90.91266,104.16399,95.02676,75.51573,55.547436,28.52936,57.15776,37.97531,62.755142,71.40896,1
71.68556,51.49952,94.01033,96.13733,71.24714,59.246216,126.29004,119.09973,62.31464,82.072296,68.7913,101.1164,119.935394,183.52586,82.62874,77.69177,1
34.04607,51.257603,57.40126,54.962437,73.215675,85.787094,84.840576,78.39514,99.79081,90.97091,87.01103,19.90883,87.027245,26.89652,65.30847,70.37476,1
33.119648,46.71414,79.568756,80.659,71.03205,81.755455,101.58194,98.49774,94.33884,84.80931,74.537094,26.38052,73.63332,30.439615,75.3004,81.20723,1
37.89671,54.0183,137.79053,129.32462,76.80351,85.387634,166.98969,149.9069,90.25165,87.64464,66.1494,13.521561,67.53267,22.95549,107.29702,107.356125,1
42.34756,40.49308,103.49588,101.82455,82.90086,82.5728,105.27243,103.31124,84.745384,81.54666,17.416775,12.519827,6.5406084,5.950543,93.19837,92.19868,1
41.55874,42.594467,70.49438,91.83531,99.83916,91.06404,139.78197,127.73699,100.09254,96.30881,45.07463,36.646,26.922138,49.561626,85.16676,91.44968,1
27.640993,30.853432,58.315678,55.65397,67.49972,66.094696,84.76062,84.98311,67.19003,69.1701,20.894056,15.105854,29.804474,6.6062374,62.907696,60.874332,1
26.5473,28.066217,48.52196,52.50037,66.259476,64.9857,85.875595,89.116905,67.002235,68.06556,21.254923,11.790922,29.152384,20.697292,57.39072,58.74304,1
26.37175,24.362642,50.572823,51.008667,65.95814,63.862934,83.16829,87.68917,65.45588,67.19871,24.49562,12.597788,28.107363,12.091827,58.26548,57.4358,1
33.219357,34.09982,53.944485,51.988888,75.87814,79.91089,96.333115,96.85531,82.494095,76.13173,28.484592,7.699014,32.81141,5.459479,64.911316,65.94989,1
32.2003,32.39381,41.996918,39.637592,72.42873,74.46706,82.597946,82.23368,75.676506,73.78129,23.434685,8.043966,29.832138,6.364556,57.212822,57.052326,1
32.646023,31.874876,46.23448,44.185387,74.65602,75.29573,88.42681,88.796684,76.695465,75.86526,24.393314,9.315789,30.708517,8.151165,60.44525,59.74056,1
31.48809,29.426464,50.13528,46.593765,70.09571,69.87418,78.18455,78.68293,70.42156,71.558846,18.698366,15.001824,21.101044,9.771642,60.115494,58.233974,1
32.728573,32.104435,41.710327,40.365368,73.3813,71.54271,82.33045,81.13805,69.876945,73.866585,7.5981874,20.754984,13.829564,6.011372,57.545815,55.95404,1
30.349773,30.434652,40.264908,38.679863,71.95225,71.915535,82.394745,80.87566,73.30445,72.508606,19.308746,14.199797,21.506376,9.039186,56.108578,55.2977,1
36.158466,33.452858,49.04998,41.815228,77.52,73.67049,86.838005,80.10293,72.668564,78.42796,9.808112,10.071032,10.634114,8.845758,63.28499,57.74286,1
56.8711,60.697685,40.946514,30.391893,107.68627,109.87583,55.944355,52.225723,115.6643,103.14354,23.894926,20.20122,25.292908,17.33856,74.31639,70.133865,1
33.784725,41.005417,46.584522,62.723106,31.583054,48.139637,84.13529,77.6743,54.253094,46.054718,54.788765,48.180363,57.88384,51.425484,39.08379,55.43137,1
26.984705,27.144796,51.443104,47.846992,66.58573,68.34946,90.924385,87.400665,76.195404,68.08667,42.82321,20.148554,37.271317,19.847599,59.01442,58.098225,1
