left_shoulder_left_wrist,right_shoulder_right_wrist,left_hip_left_ankle,right_hip_right_ankle,left_hip_left_wrist,right_hip_right_wrist,left_shoulder_left_ankle,right_shoulder_right_ankle,left_hip_right_wrist,right_hip_left_wrist,left_elbow_right_elbow,left_knee_right_knee,left_wrist_right_wrist,left_ankle_right_ankle,left_hip_avg_left_wrist_left_ankle,right_hip_avg_right_wrist_right_ankle,pose
92.73268,86.3553,162.66756,186.39038,179.72633,200.04822,306.7942,333.77878,218.56818,167.0078,72.60463,31.298151,87.39227,48.943527,171.19695,193.2193,1
96.271675,120.11018,245.97449,247.73032,224.2285,217.56119,425.60016,431.49103,223.70605,227.05072,83.0079,32.651665,95.9922,25.91046,235.10149,232.64575,1
70.500984,61.06542,72.19047,72.50423,79.90194,64.01446,114.53607,104.847595,86.71311,114.38563,116.30755,69.194145,91.03781,77.31873,76.0462,68.259346,1
74.0752,63.251415,63.149536,66.30616,82.26642,59.859303,113.26248,106.1099,69.62728,118.796486,103.35205,60.035522,87.795364,69.54665,72.70798,63.082733,1
71.68987,76.59996,94.5046,87.691925,183.63605,164.22119,225.90945,214.8571,171.23642,178.72989,48.71792,13.396707,43.765217,20.727337,139.07033,125.95656,1
83.38217,82.84719,159.18457,135.84464,180.22227,164.83325,295.7868,263.57498,143.92346,206.68349,67.951355,42.01848,64.243675,5.1201158,169.70343,150.33894,1
97.64178,91.38084,220.32434,195.21597,182.33978,186.95004,374.96207,347.2762,193.65338,180.76105,49.645844,34.41261,51.682854,56.934677,201.33206,191.08301,1
80.64135,80.52957,241.60822,246.57018,212.23262,214.83144,398.7496,403.50793,231.39891,200.9496,58.815292,34.05379,75.00223,52.2367,226.92041,230.7008,1
62.48405,61.36045,140.47182,138.02191,95.40591,98.10957,232.35631,229.66632,103.08981,98.2396,54.74388,15.792307,53.398285,17.010101,117.93886,118.06574,1
63.20545,59.9433,84.725525,83.76545,65.61295,62.071754,144.53772,141.81042,67.29819,70.00341,48.912273,13.865185,47.638824,16.69578,75.16924,72.9186,1
85.18757,84.98066,130.2419,129.24751,126.87606,125.67106,235.7063,235.26137,130.16313,128.88947,52.801098,33.97792,47.885643,39.347134,128.55898,127.45929,1
76.94188,73.876305,102.970276,103.64882,87.83285,86.76003,182.33485,182.57285,90.54663,92.28006,49.01732,18.06357,53.51432,21.139185,95.401566,95.20443,1
76.970215,55.645794,76.35386,74.66992,89.700554,71.765656,113.969284,103.805046,89.96918,116.90122,110.31991,45.103687,94.06288,45.611324,83.02721,73.21779,1
77.57308,55.280773,74.14418,72.863846,89.05979,68.584915,113.97419,104.19441,86.17615,117.427246,112.13369,46.120792,94.19452,46.887474,81.60199,70.72438,1
77.30064,63.94214,75.128174,77.40404,83.63634,60.75832,119.192245,105.99497,76.87236,116.35792,110.180984,58.445198,85.19087,60.1385,79.382256,69.08118,1
78.313,65.316574,77.81002,84.37893,81.97982,63.592392,120.63738,110.56525,78.337364,113.521805,105.85475,61.45256,76.9114,65.72113,79.89492,73.985664,1
107.4566,84.80978,179.61751,184.6141,156.95993,125.43185,305.1887,295.31677,104.019775,191.42796,90.419426,47.740566,94.23477,49.193512,168.28873,155.02298,1
106.78402,85.55528,170.88411,175.98502,150.40866,127.57545,292.3281,286.48184,104.599464,185.843,85.524666,46.161484,88.69213,47.592995,160.6464,151.78023,1
109.52008,83.058556,176.42197,182.18968,155.87627,128.55644,302.65762,298.1267,107.74347,188.98686,85.79206,47.443996,90.43367,49.695934,166.14911,155.37306,1
49.625504,55.60401,70.96991,71.41719,88.89174,97.91357,85.58806,86.642784,101.92354,89.61996,36.201565,24.56226,38.65027,14.754842,79.930824,84.665375,1
51.589287,47.195705,70.532425,70.06616,99.77966,101.41173,118.42607,121.80445,108.751945,94.663994,25.960863,18.685213,20.443665,28.252193,85.156044,85.738945,1
60.26802,61.969296,151.29375,150.37233,140.11438,128.95848,253.00487,236.25223,134.49384,143.53197,58.18068,25.349451,81.68969,20.725153,145.70407,139.6654,1
101.28732,103.148125,185.12056,186.24908,181.3092,182.76808,322.2034,322.71457,188.30675,183.32742,58.27846,18.145576,73.21477,16.127659,183.21487,184.50859,1
