left_shoulder_left_wrist,right_shoulder_right_wrist,left_hip_left_ankle,right_hip_right_ankle,left_hip_left_wrist,right_hip_right_wrist,left_shoulder_left_ankle,right_shoulder_right_ankle,left_hip_right_wrist,right_hip_left_wrist,left_elbow_right_elbow,left_knee_right_knee,left_wrist_right_wrist,left_ankle_right_ankle,left_hip_avg_left_wrist_left_ankle,right_hip_avg_right_wrist_right_ankle,pose
51.31871,49.146126,37.606068,37.390087,67.370766,72.760704,70.37412,77.75722,90.88324,89.8284,107.60372,70.24889,55.237648,73.488266,52.488415,55.075397,1
26.034687,30.098396,30.768463,33.870262,66.13367,67.49155,70.070465,74.35218,79.836395,95.17035,96.41919,58.47014,61.629463,51.096836,48.451065,50.680904,1
33.089478,36.94424,32.192696,34.270668,76.83955,70.66268,75.436455,73.964096,79.889946,117.23908,116.04295,60.901215,84.87776,52.853916,54.51612,52.466675,1
31.399755,76.827835,78.14234,76.5624,86.08293,124.35641,132.72935,133.41042,91.62593,123.43341,83.53576,38.582947,28.848188,33.46976,82.11263,100.459404,1
40.23159,72.002815,78.54292,83.77367,99.030525,123.30416,137.55017,144.3586,96.24074,132.58788,76.97712,34.22648,31.136862,34.23161,88.78672,103.53892,1
53.180115,48.902874,52.463406,66.78907,111.75121,96.41607,110.28582,116.72062,82.24372,147.37248,99.86716,61.358105,75.502106,62.453342,82.10731,81.60257,1
78.07847,82.995415,57.70441,83.10039,156.41052,148.4271,133.33905,149.26743,112.85406,197.89531,94.893555,70.332756,58.90321,79.73977,107.057465,115.76374,1
40.44641,51.492992,181.99988,182.56897,127.19286,197.3261,318.75043,329.75943,239.9921,93.53676,109.35844,56.015594,118.913704,60.970436,154.59637,189.94753,1
38.493435,81.86558,173.83519,166.2036,159.7991,229.3363,306.6883,312.6927,268.2883,125.61748,114.73854,59.18502,112.700386,65.154396,166.81714,197.76996,1
42.62352,40.229588,47.282913,47.06925,71.79331,65.74748,87.77704,86.48028,88.36003,60.92284,72.76652,35.700127,31.054756,36.51749,59.538113,56.408367,1
27.07276,14.32528,46.788795,45.577087,63.899208,52.707077,88.44219,84.233986,73.3305,62.119675,74.878654,36.927574,34.221573,39.394424,55.344,49.142082,1
65.20153,52.546444,40.712254,48.389683,88.07326,97.95076,82.855446,82.41425,154.69992,77.15587,129.79407,90.18187,96.35637,84.74348,64.39275,73.17022,1
111.12747,67.490974,135.45337,144.75551,96.03312,206.57307,278.38806,306.7,274.4794,87.89832,182.26064,77.40171,218.28923,65.29494,115.74324,175.66429,1
31.245367,30.970985,36.378975,33.4578,70.405266,70.3608,75.46661,72.20119,85.42105,81.34778,85.30239,69.9589,54.681805,44.71828,53.39212,51.909306,1
42.46953,74.38118,67.04578,70.810074,52.88044,49.060284,105.82678,123.34601,45.92715,40.980667,75.828545,50.629898,13.538711,52.836002,59.963108,59.93518,1
57.530743,81.75214,74.05473,70.02737,73.03989,52.437267,112.83279,125.61475,42.382828,43.513554,65.35063,59.238914,39.946472,68.477356,73.54731,61.23232,1
71.511284,94.34116,147.61838,75.40194,52.828754,49.622776,236.384,156.90797,60.34255,50.118946,50.476757,93.44113,18.597893,136.18655,100.223564,62.512356,1
53.123627,33.538937,67.79764,70.10584,22.983488,30.915886,116.12099,115.08362,58.76524,49.28442,91.891815,50.67862,43.758987,54.78405,45.390564,50.510864,1
51.256844,57.03452,55.114254,63.975704,74.8321,79.396965,81.41964,96.32458,57.648266,109.46511,70.23643,45.488697,42.269627,39.167164,64.973175,71.68633,1
57.741585,72.94004,258.8921,245.29373,243.34766,173.96912,473.6916,453.72522,152.45789,273.2123,104.67174,54.323013,126.17418,67.13395,251.11986,209.63142,1
59.51847,59.577873,239.9977,223.04568,230.16252,141.70372,417.69324,394.66953,126.68555,253.80487,105.34487,46.64365,138.64177,64.32256,235.08011,182.37471,1
41.086178,41.264835,63.921318,61.64692,39.945675,45.094955,104.454025,104.49273,86.36661,75.6374,113.96543,53.1097,93.5855,50.944443,51.933495,53.370937,1
49.296093,47.637825,70.81416,69.064415,52.742817,56.028942,110.63205,113.89695,97.15888,93.927315,125.29753,49.583267,127.066246,47.101406,61.778492,62.546677,1
19.99355,11.728932,37.766575,35.53695,50.95786,46.265614,77.68262,72.03712,77.91081,79.30761,88.5059,57.67081,77.781624,67.35404,44.362217,40.901283,1
31.808966,56.946686,40.38458,40.78238,60.30286,64.54628,80.136185,75.099594,50.683693,90.36177,76.121635,66.351616,35.420685,79.43973,50.34372,52.66433,1
55.82845,59.30013,87.92103,84.57671,75.25361,66.636734,198.70726,189.81908,70.08421,77.61322,50.88487,39.594715,29.123253,24.334955,81.58732,75.60672,1
67.250496,71.66838,80.14918,84.79363,123.86165,101.99349,144.24554,133.28531,91.178856,155.14902,107.2188,36.70177,92.31187,43.365425,102.00541,93.39356,1
61.4539,62.603184,86.07084,92.46498,91.518005,84.1682,143.47557,139.68431,74.493126,120.49529,88.53343,37.1325,62.56542,42.729057,88.79442,88.31659,1
46.915382,27.913792,88.70156,74.94772,106.252495,63.912476,156.76314,150.04979,92.02396,76.43387,42.79661,50.677273,15.568925,60.899323,97.47703,69.4301,1
42.349197,52.07271,54.431255,71.8327,54.695442,95.67284,103.77945,120.48638,70.34707,75.93182,85.64295,62.694378,49.36154,77.017555,54.56335,83.75277,1
23.519903,57.987682,62.290047,69.127,73.099525,100.21089,111.5166,118.93411,75.56056,108.04198,96.80581,45.734467,33.144463,53.446186,67.694786,84.668945,1
37.81494,63.339096,96.37093,102.482635,52.695004,35.78722,161.19855,167.85828,45.38485,40.185543,49.278854,41.661957,15.218005,56.757366,74.53297,69.134926,1
12.707348,16.432476,64.96945,70.24815,43.625015,42.333103,96.37852,107.66949,58.656574,87.34499,104.295906,80.46261,73.91248,98.09169,54.297234,56.290627,1
21.789045,30.596407,38.882217,40.561726,65.937515,75.80768,84.36145,86.18434,58.871407,90.384766,60.334534,44.162064,22.695215,37.251217,52.409866,58.184704,1
111.72538,76.20262,176.35931,157.53392,66.93859,77.832115,281.58768,299.88855,132.17516,80.97345,137.93333,90.022606,142.42555,96.505104,121.64895,117.683014,1
52.988426,41.97385,72.63496,58.178474,55.46097,52.289795,110.59281,96.74341,90.12467,89.16033,112.75549,65.107376,104.421455,81.57089,64.04796,55.234135,1
36.03694,48.42773,73.65426,76.281136,83.6372,95.61642,122.29671,127.02328,72.34015,114.039505,79.33651,47.02695,33.21776,41.37291,78.64573,85.94878,1
44.17613,36.760437,37.63106,35.232586,66.681885,67.12365,78.3975,73.09489,93.77407,58.045334,73.00639,37.40369,44.115574,38.450054,52.156475,51.17812,1
48.96649,68.878975,56.974926,60.60542,56.42358,82.04573,88.65566,98.287,58.811302,79.772316,75.56939,50.613876,4.0173283,48.338615,56.699253,71.32558,1
79.824684,63.506477,74.18048,133.35823,168.79977,121.33746,164.1486,201.81024,103.93395,193.73682,90.3406,91.05435,92.399704,97.731155,121.49013,127.34785,1
