right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
163.1,161.6,14.92,150.0,149.6,170.4,163.1,1
163.0,162.6,11.67,142.9,135.6,173.9,171.0,1
165.8,162.1,14.69,148.9,145.9,174.1,171.2,1
165.1,163.4,16.12,142.2,140.1,168.8,172.1,1
159.4,167.0,33.44,139.6,110.8,166.0,175.4,1
159.0,155.6,23.1,120.75,119.56,152.5,172.2,1
158.1,159.0,36.1,127.25,139.0,165.9,172.4,1
164.9,155.5,29.78,144.5,144.2,167.2,171.4,1
143.6,150.4,57.2,154.9,159.6,147.2,164.1,1
143.9,172.4,92.0,158.8,88.75,148.8,170.2,1
59.22,16.72,41.34,157.5,114.2,122.4,132.8,1
160.2,144.6,32.12,164.5,98.94,124.2,169.1,1
116.5,30.78,33.97,160.5,145.9,140.4,124.75,1
164.4,165.8,71.0,94.4,110.94,149.4,171.5,1
140.8,157.4,69.8,148.4,111.9,147.9,174.1,1
70.44,79.56,23.28,172.4,171.8,153.2,149.2,1
30.22,47.97,28.81,163.4,165.8,40.22,124.1,1
57.25,52.12,12.91,176.8,170.8,88.7,87.2,1
168.9,161.6,34.66,146.0,149.0,170.8,170.8,1
119.2,131.6,27.27,109.56,87.44,169.1,165.0,1
167.2,154.8,22.66,146.1,149.9,160.4,172.2,1
158.4,166.0,35.22,118.6,117.94,170.1,158.5,1
151.1,138.8,56.38,174.1,166.6,153.2,133.4,1
37.3,46.6,123.75,97.2,151.4,140.8,147.2,1
113.4,159.0,26.1,166.5,148.6,138.9,120.56,1
113.75,159.4,17.86,170.8,169.4,134.5,132.8,1
101.06,131.0,8.33,167.4,176.9,124.3,160.1,1
153.8,158.8,12.75,167.4,163.1,127.25,156.0,1
44.84,33.62,22.48,122.6,114.56,143.9,111.9,1
129.1,149.4,32.22,157.9,156.9,172.5,156.6,1
132.5,158.2,25.27,162.8,167.0,167.1,161.6,1
145.1,155.6,21.05,179.4,172.8,153.4,160.2,1
