right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
96.56,74.75,25.47,167.0,154.8,147.1,138.2,1
88.75,85.4,14.99,169.9,172.4,173.0,142.5,1
72.2,79.2,82.7,153.6,150.6,117.9,147.5,1
59.22,80.94,82.4,157.4,154.0,130.0,165.4,1
56.5,66.4,12.91,70.5,67.8,129.8,118.9,1
83.1,107.44,37.03,158.8,132.0,151.6,166.1,1
87.25,78.4,19.56,172.5,168.1,161.6,155.4,1
88.5,86.1,17.95,172.9,166.6,131.5,123.0,1
63.4,55.72,13.7,167.9,164.1,142.9,137.9,1
58.8,56.75,20.14,151.5,155.1,154.6,154.2,1
81.25,75.2,36.62,172.0,151.1,158.5,160.9,1
70.1,63.62,20.72,165.6,162.0,163.5,167.2,1
99.0,94.56,57.78,156.1,164.0,125.6,148.5,1
97.1,93.75,61.88,158.6,166.0,121.3,145.2,1
71.44,80.0,71.56,158.6,160.1,128.8,151.2,1
72.4,77.9,69.8,163.4,167.2,132.1,151.9,1
56.28,81.06,18.62,175.6,169.4,135.9,172.6,1
60.12,78.56,16.4,168.1,169.6,138.9,171.6,1
56.97,77.8,19.17,175.4,169.1,135.1,169.5,1
137.2,135.4,36.5,127.56,147.4,157.0,156.4,1
167.5,172.9,30.4,156.5,149.9,155.1,173.8,1
90.8,83.4,18.9,152.4,145.6,139.8,133.9,1
90.56,88.8,12.016,173.4,173.6,167.1,164.5,1
92.3,85.56,10.305,172.0,169.6,161.0,158.8,1
89.44,87.75,34.2,148.6,142.5,131.4,140.2,1
76.2,79.56,81.0,168.5,164.8,132.1,151.0,1
69.44,83.2,81.06,163.5,159.4,121.25,151.2,1
82.4,89.75,97.9,147.5,152.1,117.3,140.4,1
34.6,29.88,43.25,139.8,106.3,131.9,161.5,1
47.22,32.22,42.12,118.06,112.7,132.6,143.9,1
50.16,92.1,27.72,160.9,163.1,141.8,144.2,1
90.06,64.3,52.94,89.9,76.06,150.9,147.1,1
81.0,72.3,48.22,127.6,127.3,151.9,142.4,1
78.1,64.7,49.25,126.5,131.0,153.5,136.8,1
85.1,66.0,53.25,104.4,104.2,148.2,133.2,1
100.44,62.56,17.33,172.2,171.8,155.5,117.94,1
87.94,61.75,17.72,168.1,161.6,165.2,134.4,1
89.6,65.06,17.55,168.4,165.2,170.0,136.4,1
122.6,122.1,62.94,160.8,149.1,136.6,113.0,1
69.25,68.6,45.7,154.2,134.6,167.9,153.2,1
57.38,43.44,82.8,152.4,150.4,144.9,134.8,1
20.75,41.6,17.55,123.4,136.8,132.2,99.7,1
74.7,54.7,4.4,165.4,172.0,135.5,165.0,1
125.4,117.75,90.5,61.38,87.5,137.9,143.2,1
138.6,135.1,62.38,58.7,122.5,148.9,144.6,1
147.6,100.4,54.3,64.5,78.56,155.0,139.5,1
56.94,60.9,49.8,131.0,159.9,151.1,152.2,1
48.1,53.8,57.62,132.2,162.8,165.1,165.4,1
50.0,53.6,51.03,144.8,169.0,161.5,156.8,1
133.6,96.3,21.16,170.2,166.4,159.0,116.3,1
60.75,59.53,51.22,173.9,170.1,155.2,156.4,1
53.22,51.22,54.6,167.8,167.6,152.2,136.4,1
54.9,54.06,68.9,169.1,170.0,157.1,149.8,1
68.2,48.84,64.1,163.6,156.9,161.5,144.1,1
83.6,63.94,75.8,121.94,151.5,160.6,114.9,1
75.6,83.2,82.7,169.2,169.4,132.9,153.4,1
51.06,76.9,35.88,169.1,175.2,154.0,172.9,1
79.3,67.94,8.07,175.6,177.4,148.2,138.4,1
86.2,94.94,21.9,161.0,165.8,112.44,98.3,1
72.56,58.16,51.12,130.4,152.9,131.1,144.6,1
74.7,62.25,55.2,175.1,165.5,148.6,138.4,1
108.6,51.12,35.38,177.1,171.4,170.2,111.8,1
63.38,55.28,52.25,152.1,148.9,164.2,149.8,1
88.2,90.9,105.56,165.4,165.5,126.4,143.1,1
54.38,55.34,52.34,156.1,166.6,155.2,157.1,1
67.1,67.6,20.5,175.5,167.1,147.4,145.8,1
69.9,61.28,59.06,163.0,168.1,145.4,170.1,1
77.9,91.5,48.66,171.9,152.0,154.0,145.5,1
86.5,88.94,103.7,162.1,160.6,134.0,130.2,1
54.6,81.1,63.44,167.4,154.0,122.8,161.4,1
53.1,87.56,47.3,158.2,156.8,133.1,167.2,1
56.72,105.44,26.17,174.0,169.2,143.1,169.4,1
32.47,90.6,31.06,171.4,164.5,131.4,152.6,1
67.4,89.0,24.67,158.0,162.9,130.1,147.6,1
64.7,88.44,41.16,168.9,152.1,143.8,149.8,1
70.6,62.47,65.1,153.1,162.6,138.0,146.4,1
88.25,81.6,11.664,168.8,171.4,164.2,155.4,1
71.0,75.2,20.0,166.4,169.2,164.5,164.8,1
99.5,89.25,63.0,167.2,163.9,131.1,131.1,1
85.4,38.47,12.55,171.5,171.1,155.9,143.1,1
62.66,63.2,75.75,172.4,168.1,152.8,154.6,1
77.3,36.78,16.78,166.2,171.4,162.8,146.8,1
52.72,53.6,5.75,166.2,166.0,142.6,130.2,1
136.4,94.2,25.78,165.9,166.6,148.1,128.2,1
107.4,48.1,43.28,172.8,165.6,168.0,113.5,1
80.0,76.0,105.9,153.0,149.2,154.9,123.25,1
88.94,60.2,32.47,161.0,147.9,160.2,123.0,1
123.9,68.2,57.7,166.4,170.1,154.5,77.6,1
76.44,63.03,31.72,168.6,159.4,143.6,130.4,1
45.84,73.9,31.6,166.6,170.6,129.9,167.6,1
63.25,81.2,7.965,170.1,169.1,132.9,157.2,1
34.5,65.0,26.9,158.1,158.8,130.9,131.4,1
74.56,72.75,53.38,165.1,175.1,147.8,166.1,1
79.9,72.4,96.9,165.6,147.9,156.1,123.94,1
60.78,96.25,7.074,169.9,176.0,149.1,162.4,1
111.7,89.25,17.44,169.5,170.4,162.8,133.0,1
47.47,93.44,32.75,155.5,165.4,150.5,164.4,1
60.75,45.06,11.25,163.5,162.9,156.6,153.6,1
94.4,57.16,18.7,174.8,175.8,153.2,128.9,1
75.0,69.9,11.195,163.2,166.2,167.8,166.6,1
109.1,66.25,39.75,156.4,163.4,161.9,170.4,1
80.06,103.6,25.66,148.9,152.9,140.0,167.6,1
85.5,79.1,11.914,171.6,163.4,154.2,145.2,1
101.6,24.64,15.734,170.1,176.0,149.8,134.8,1
96.2,31.0,30.92,163.2,169.2,154.0,145.8,1
100.06,108.2,23.31,151.8,152.0,140.4,148.5,1
63.88,62.7,73.3,165.1,151.1,156.1,136.0,1
90.6,95.94,13.586,173.5,178.2,172.2,174.4,1
77.75,64.56,14.586,166.0,163.6,136.8,137.0,1
43.78,84.2,24.31,171.8,177.9,137.6,172.6,1
83.6,80.9,9.07,172.5,173.0,170.5,171.0,1
64.94,58.78,16.62,159.6,162.9,155.2,151.5,1
62.1,64.94,74.4,164.1,153.1,152.5,131.0,1
68.94,77.1,56.25,155.6,170.8,155.2,141.6,1
59.22,81.8,31.45,162.9,162.0,144.4,163.2,1
95.2,80.94,38.66,174.2,157.4,160.8,142.2,1
75.0,75.9,12.59,171.1,170.6,170.0,169.0,1
77.75,84.75,58.16,178.0,166.1,160.0,135.2,1
85.6,68.1,83.7,164.9,162.4,157.8,151.4,1
52.28,63.8,79.06,117.75,108.7,130.8,145.9,1
50.8,79.1,51.03,162.4,169.2,135.5,164.8,1
48.5,88.7,17.55,177.4,175.8,122.75,138.4,1
61.84,80.6,41.34,164.1,157.1,141.1,163.0,1
65.2,107.06,78.2,170.8,164.0,116.75,166.8,1
77.7,78.0,44.72,113.06,132.9,141.2,127.8,1
61.6,73.5,62.06,159.4,153.5,142.1,161.4,1
52.28,56.03,55.22,153.8,166.0,154.5,153.5,1
51.53,83.0,49.12,164.4,166.8,124.0,161.5,1
94.5,77.5,16.02,164.5,175.6,149.8,143.9,1
82.25,71.3,69.94,168.2,173.1,151.8,128.9,1
78.6,81.75,53.8,163.0,164.5,127.94,159.8,1
71.75,86.2,87.06,160.6,171.2,149.5,147.6,1
69.6,97.06,23.89,166.8,176.1,131.0,167.1,1
64.56,54.88,70.7,172.4,158.1,170.9,150.6,1
90.56,41.34,9.89,176.8,170.4,166.1,151.5,1
88.6,79.3,9.04,173.6,173.2,154.9,142.1,1
58.12,61.62,73.06,178.6,155.5,157.8,137.4,1
67.25,59.38,41.0,161.6,143.6,140.9,124.1,1
91.06,53.22,39.8,163.4,165.4,171.6,131.4,1
62.66,78.4,34.0,170.8,160.6,142.5,168.6,1
61.03,55.8,23.69,148.8,128.6,162.9,142.2,1
22.12,29.3,2.154,158.9,158.4,150.6,140.9,1
59.97,77.6,35.53,172.4,160.6,148.1,164.1,1
35.03,29.5,103.6,107.94,98.3,88.6,153.0,1
37.53,40.9,8.75,176.9,178.4,84.0,68.7,0
31.67,30.47,6.656,178.4,179.2,109.7,84.5,0
63.3,69.25,72.5,142.8,152.2,76.4,77.6,0
65.06,46.62,18.81,170.0,163.5,96.2,57.7,0
58.56,38.38,10.59,173.2,174.8,92.7,120.75,0
114.5,107.8,155.9,116.94,48.72,154.4,116.5,0
91.0,62.28,68.56,164.0,173.2,112.8,100.4,0
22.92,29.56,24.9,171.8,171.8,125.8,113.1,0
23.89,39.16,25.48,166.4,173.1,120.06,73.7,0
21.47,64.2,22.17,177.2,172.0,135.2,88.94,0
19.88,41.38,24.83,175.9,169.8,121.1,99.4,0
20.66,45.25,24.6,172.8,173.9,119.7,75.4,0
36.66,31.05,15.92,178.0,170.5,124.4,146.0,0
29.9,32.56,8.87,164.9,163.2,89.4,99.0,0
25.14,36.1,11.62,168.2,162.5,90.7,80.0,0
24.36,33.56,6.793,171.4,169.2,103.7,93.5,0
98.2,81.75,77.3,156.9,164.6,108.56,114.1,0
106.06,86.8,82.4,152.5,159.8,125.2,124.7,0
108.5,78.25,84.06,150.1,160.1,117.5,133.0,0
48.56,42.56,41.88,115.8,110.56,132.4,115.44,0
45.2,46.16,49.66,117.94,102.1,145.4,65.0,0
97.2,95.94,82.06,138.2,138.2,138.1,151.9,0
104.5,99.56,84.2,137.2,142.5,130.8,154.2,0
84.25,93.25,79.2,152.1,151.6,131.9,80.8,0
13.195,16.25,26.73,164.2,166.9,115.0,122.1,0
99.8,78.9,109.5,152.9,110.5,118.25,139.0,0
99.94,89.6,95.4,140.5,136.9,150.2,127.0,0
68.7,32.4,26.45,176.0,177.6,72.2,139.5,0
45.34,26.88,25.48,174.5,176.8,90.8,134.5,0
23.94,94.06,52.03,150.1,169.4,107.06,119.0,0
56.94,98.7,42.1,151.4,165.5,129.5,117.5,0
40.06,42.25,37.22,170.9,172.5,128.6,69.25,0
53.66,96.4,92.3,124.06,142.1,123.56,129.5,0
59.28,18.73,19.5,172.0,167.2,107.75,141.6,0
15.836,27.81,9.0,179.2,172.1,144.9,128.1,0
97.7,89.44,82.2,154.9,159.4,144.4,151.5,0
60.4,64.4,75.75,167.4,161.8,79.3,73.9,0
64.7,23.83,30.48,169.1,173.1,87.5,151.8,0
80.5,69.75,70.5,163.5,175.0,90.6,110.7,0
80.4,86.5,70.0,160.2,144.0,114.4,94.9,0
28.62,85.0,24.83,168.8,159.1,117.25,118.9,0
36.3,41.03,43.75,166.8,160.4,103.3,106.94,0
79.25,84.4,85.5,155.0,160.1,140.9,145.9,0
100.6,77.5,116.8,146.2,159.2,144.0,151.5,0
37.44,30.58,38.5,166.6,168.0,139.6,84.8,0
23.1,28.83,27.88,167.6,162.2,71.06,85.1,0
30.84,47.6,27.11,160.6,170.6,107.0,61.75,0
21.81,58.3,21.62,174.5,167.4,139.9,89.5,0
15.51,29.84,32.6,167.5,166.5,113.4,113.06,0
73.94,60.6,57.16,154.9,168.4,117.8,134.5,0
49.44,97.06,86.9,154.4,165.0,122.06,107.75,0
40.72,147.6,82.1,86.6,65.2,154.1,145.8,0
16.27,73.44,20.05,172.0,172.4,154.9,70.5,0
59.5,35.84,61.75,158.9,170.4,101.44,135.2,0
23.62,43.0,44.16,159.4,154.2,80.5,90.94,0
19.84,17.45,13.62,173.8,178.1,57.25,51.97,0
30.4,29.56,26.28,168.2,169.0,139.4,97.44,0
10.1,29.48,8.96,176.1,172.1,120.8,113.8,0
78.25,106.94,52.1,160.4,164.5,144.8,152.8,0
34.97,29.28,15.945,165.9,163.5,75.2,121.5,0
65.0,57.94,44.22,159.6,163.9,129.1,73.7,0
106.8,84.2,72.2,165.2,168.8,158.1,142.8,0
52.88,61.94,78.4,162.0,156.5,71.0,57.12,0
42.03,30.36,9.16,177.6,178.6,78.25,124.1,0
38.0,33.4,8.43,177.0,179.9,88.7,78.7,0
29.53,52.9,62.94,168.2,171.2,68.2,146.0,0
40.66,38.53,12.48,169.5,172.0,80.1,59.16,0
44.6,20.11,57.47,168.8,174.9,137.9,90.06,0
43.06,54.16,64.75,118.8,138.4,162.2,160.1,0
4.227,43.38,58.16,168.2,168.1,93.06,83.6,0
43.7,51.22,16.83,171.4,170.6,108.7,93.6,0
10.19,69.7,20.11,163.6,159.6,138.2,105.7,0
58.22,55.53,11.35,158.6,170.1,157.8,164.5,0
36.97,44.16,61.78,160.2,152.4,76.6,103.25,0
37.2,31.03,53.47,172.9,170.2,94.2,133.0,0
81.4,112.3,88.06,150.2,172.1,136.2,137.5,0
82.0,66.94,65.75,165.4,175.0,99.4,104.1,0
27.1,23.83,20.81,172.1,172.9,114.8,100.4,0
77.4,83.5,87.25,158.1,155.6,158.2,77.6,0
53.0,39.84,69.2,163.0,166.5,135.0,90.94,0
72.56,111.44,86.7,146.6,149.4,154.0,141.9,0
52.72,51.9,77.94,160.6,157.9,72.9,67.5,0
69.7,98.0,101.5,154.5,144.9,115.6,107.5,0
44.06,36.44,57.16,169.9,147.5,149.4,108.9,0
47.25,26.12,89.6,166.4,146.1,154.0,86.7,0
14.99,71.8,32.8,170.6,165.1,157.5,103.8,0
64.06,48.56,45.38,124.3,138.2,44.78,100.75,0
96.94,79.75,34.25,156.6,158.1,105.9,169.8,0
7.49,52.94,13.62,165.1,172.9,147.5,142.5,0
41.2,17.25,36.94,153.8,167.4,103.1,151.5,0
45.4,40.53,8.78,174.9,179.0,50.72,38.5,0
16.89,31.9,20.6,176.4,171.4,104.4,110.0,0
32.12,30.2,8.84,177.0,176.8,96.75,103.75,0
29.4,30.17,25.61,160.1,157.9,109.3,164.9,0
31.42,33.1,29.7,171.1,167.4,121.7,74.9,0
75.25,55.44,54.6,170.5,169.1,82.94,114.7,0
33.28,20.98,23.47,171.4,161.8,139.0,126.56,0
28.17,35.16,75.5,171.1,162.4,112.1,75.3,0
37.28,23.64,34.53,123.56,118.9,129.5,151.5,0
52.0,16.08,83.94,160.2,153.8,127.0,111.25,0
65.56,60.53,76.75,174.8,157.5,84.7,43.34,0
17.9,37.06,76.56,168.5,170.0,77.9,60.47,0
