right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
87.4,93.75,71.56,39.22,41.6,96.2,97.8,1
118.25,122.56,65.5,38.8,41.84,61.3,57.6,1
99.2,120.56,67.0,39.38,42.84,74.1,60.3,1
123.75,114.0,35.9,87.3,100.7,99.4,52.9,1
121.44,110.2,30.7,90.44,93.6,105.0,68.4,1
115.4,156.0,64.56,77.06,74.94,103.3,133.2,1
150.1,165.2,64.4,87.1,73.75,129.8,143.2,1
150.0,13.46,29.31,131.8,116.2,134.1,73.75,1
140.5,26.38,31.92,113.8,107.06,133.8,41.7,1
116.1,153.6,43.75,62.53,64.6,83.5,66.9,1
116.56,127.25,45.53,61.62,64.4,27.88,63.94,1
105.0,66.2,83.44,52.94,39.8,125.94,109.44,1
127.5,25.36,44.9,97.5,89.4,125.6,138.9,1
148.2,150.9,70.2,41.8,40.56,116.56,71.4,1
14.0,31.73,69.25,130.9,131.2,110.0,81.56,1
9.43,35.2,74.7,128.1,138.6,112.9,102.6,1
10.13,15.26,69.6,164.6,155.0,133.4,109.8,1
38.53,26.0,57.03,95.1,84.8,51.12,108.6,1
100.9,106.9,48.22,86.1,93.94,77.44,99.1,1
33.75,90.7,19.53,169.8,162.0,118.56,135.4,1
29.36,130.2,21.36,161.4,157.4,106.06,139.5,1
69.94,52.25,79.56,169.5,163.4,89.44,88.8,1
85.75,67.56,69.44,169.2,162.4,102.94,112.25,1
76.8,77.8,72.2,51.7,50.72,37.84,61.2,1
71.3,87.94,77.5,55.78,52.16,107.44,94.5,1
53.0,39.1,83.0,122.1,126.1,92.75,161.1,1
92.3,124.75,41.34,166.1,156.6,122.0,164.8,1
80.0,104.06,36.53,161.6,155.4,121.5,150.9,1
59.72,94.0,50.88,78.1,83.3,87.9,102.5,1
109.75,82.4,59.66,72.94,61.97,55.84,86.1,1
123.25,115.25,52.0,89.9,85.4,66.44,46.66,1
29.1,26.72,43.47,160.9,159.9,111.5,114.06,1
70.2,65.8,104.3,152.1,169.5,28.28,40.53,1
29.84,119.1,53.97,55.56,50.78,28.22,77.25,1
28.06,22.1,38.84,156.2,149.0,153.6,135.2,1
81.7,58.75,90.0,145.2,139.1,101.06,117.44,1
129.1,128.9,49.25,84.75,84.3,76.5,80.9,1
117.44,148.2,44.53,50.03,45.84,143.0,87.3,1
55.47,60.53,58.8,93.56,96.9,108.6,98.06,1
102.4,143.1,61.4,135.2,100.25,122.44,164.5,1
152.2,164.0,75.0,131.2,98.8,140.6,153.2,1
80.1,28.06,29.02,167.9,167.0,124.5,167.6,1
64.8,35.5,49.3,151.8,160.0,131.2,165.8,1
124.8,91.9,67.56,28.98,41.9,78.2,111.7,1
22.53,112.06,38.9,151.0,115.7,103.2,107.5,1
103.9,115.0,46.56,51.8,53.56,68.75,113.94,1
25.61,53.78,87.8,164.1,162.9,118.75,153.4,1
71.2,81.3,58.12,64.25,62.66,112.94,31.38,1
78.4,44.84,26.25,75.9,67.2,63.78,79.7,1
27.17,37.25,16.69,113.9,124.7,144.6,104.25,1
41.84,66.7,31.12,68.94,58.25,106.4,95.8,1
17.66,57.56,71.44,140.9,147.8,93.56,45.53,1
130.6,97.06,110.25,172.5,175.0,133.6,36.22,1
162.4,119.7,102.4,162.2,177.9,105.06,74.7,1
134.5,139.4,93.9,66.6,57.44,108.5,108.4,1
120.8,132.8,95.56,66.75,65.44,108.4,122.1,1
22.02,50.1,35.3,113.8,99.7,176.9,143.5,1
31.81,54.34,54.5,158.0,167.8,124.6,144.1,1
83.2,64.0,90.25,102.2,89.5,106.56,119.3,1
74.56,66.5,98.0,107.2,91.9,101.3,115.5,1
112.1,100.75,69.1,133.8,107.94,48.53,88.9,1
75.3,42.38,22.14,165.9,155.5,175.6,122.25,1
113.5,105.56,68.6,82.9,77.9,57.28,124.56,1
108.4,111.25,69.1,61.8,58.16,131.0,120.75,1
44.7,22.61,26.17,105.0,97.7,69.0,101.8,1
111.94,126.4,57.53,145.2,135.1,95.1,145.1,1
142.2,99.7,77.7,61.34,109.56,100.3,65.75,1
142.5,101.6,63.2,67.25,104.7,85.56,59.53,1
