right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
87.5,75.6,60.78,113.2,93.2,142.1,142.1,1
93.4,90.94,54.72,90.56,76.06,124.2,144.9,1
89.9,85.1,58.2,101.06,89.7,138.2,143.0,1
79.5,66.25,73.06,120.5,106.44,137.8,137.1,1
79.0,55.22,72.75,134.6,123.75,140.5,135.4,1
76.1,49.2,79.8,133.8,131.5,144.8,134.8,1
87.2,71.7,68.56,103.8,102.6,145.4,136.1,1
54.4,46.3,55.16,115.8,124.56,141.1,132.4,1
51.0,54.44,47.0,129.9,121.1,139.5,132.1,1
44.53,52.16,46.47,116.1,119.44,137.1,133.5,1
48.9,52.06,53.0,136.5,140.6,133.9,123.8,1
55.9,63.22,65.94,143.2,144.8,135.8,118.06,1
46.16,55.47,78.56,157.9,153.0,134.8,112.25,1
47.1,60.84,96.8,165.1,155.8,137.6,120.0,1
47.03,59.47,105.6,167.0,166.8,139.8,114.4,1
45.03,55.38,101.06,168.2,163.6,139.2,113.8,1
50.28,50.34,87.8,146.6,153.8,137.9,101.1,1
64.6,73.2,44.66,91.8,109.1,144.0,112.9,1
61.53,69.56,55.47,128.1,128.5,141.0,110.1,1
45.12,52.06,80.9,161.5,164.8,136.4,117.3,1
41.72,49.03,86.2,175.0,162.2,136.0,119.0,1
37.6,44.84,91.3,176.8,167.5,136.2,114.0,1
36.72,48.7,89.0,172.0,164.0,137.2,117.7,1
36.5,49.22,89.8,169.2,164.2,137.4,119.5,1
38.97,49.97,91.6,176.5,167.1,137.5,114.25,1
37.97,47.6,84.8,167.9,164.0,135.5,114.0,1
61.56,68.8,84.7,128.4,147.1,143.6,113.0,1
61.75,73.5,46.12,107.75,116.06,145.4,109.94,1
51.9,57.94,65.5,138.4,141.5,140.8,103.0,1
35.97,44.75,76.2,159.9,162.5,136.8,117.0,1
35.47,46.62,88.75,169.2,163.0,136.2,120.7,1
31.52,42.94,78.56,161.2,158.8,135.0,117.6,1
30.64,43.3,76.9,154.5,158.9,135.1,113.44,1
28.81,44.1,75.75,150.6,156.8,134.8,118.5,1
35.1,48.88,89.5,163.4,163.0,136.5,119.94,1
35.12,44.94,90.06,164.8,167.0,136.2,118.2,1
71.06,79.5,75.1,109.3,132.8,143.9,115.9,1
68.6,70.9,58.53,117.06,119.5,143.0,113.44,1
44.84,46.12,77.25,144.4,147.6,136.0,110.4,1
37.3,41.1,85.8,170.4,160.0,135.1,112.94,1
34.06,39.38,82.1,170.9,161.4,134.9,111.44,1
31.61,38.5,82.8,166.9,161.2,134.0,107.25,1
30.81,37.28,78.75,173.5,160.5,134.2,111.4,1
32.1,38.03,84.4,171.5,163.6,134.1,110.75,1
32.75,39.16,81.9,171.8,161.5,134.2,111.06,1
33.66,38.16,78.44,160.0,160.6,134.9,108.44,1
59.16,62.7,79.2,121.1,132.4,143.0,111.0,1
76.25,81.25,48.75,88.9,111.56,145.9,97.44,1
74.0,75.9,57.47,115.06,125.06,145.0,98.8,1
50.62,56.6,66.94,137.5,143.6,140.2,108.4,1
36.47,41.47,80.44,166.9,165.4,136.4,110.75,1
36.9,39.1,94.6,173.2,165.8,135.9,103.3,1
32.6,39.44,85.1,177.2,164.0,134.6,108.1,1
33.03,44.62,89.9,174.2,165.5,135.5,113.25,1
33.03,40.06,84.06,172.8,163.5,134.6,109.3,1
33.34,41.9,80.9,172.9,162.6,134.6,110.5,1
39.6,45.16,82.8,161.2,160.8,136.6,116.0,1
69.8,75.6,59.56,106.8,127.6,143.6,109.7,1
74.4,79.4,45.53,103.4,115.44,143.9,103.4,1
53.53,56.0,71.06,125.0,141.2,140.5,102.3,1
36.25,41.56,75.56,142.5,152.0,136.0,114.7,1
31.92,41.2,73.6,152.9,156.6,134.5,115.7,1
32.44,42.6,89.7,171.0,163.2,134.1,115.94,1
28.02,39.66,84.6,160.6,157.2,136.4,119.2,1
33.3,46.7,94.5,171.9,163.6,135.6,116.9,1
33.44,44.53,90.56,171.2,161.6,135.1,117.75,1
34.28,42.16,89.9,167.5,161.1,133.6,112.0,1
45.22,57.0,75.3,125.56,131.5,139.2,120.3,1
72.4,79.7,42.16,102.06,107.9,144.5,112.8,1
69.4,71.2,61.28,116.7,126.0,141.2,104.5,1
46.62,51.06,82.75,150.0,147.5,138.6,119.4,1
98.1,99.0,23.61,44.7,43.34,147.9,145.1,1
78.56,83.56,34.84,57.88,65.9,143.5,139.8,1
54.38,55.12,50.25,120.6,121.7,140.9,135.9,1
42.7,43.56,46.1,125.1,123.5,140.8,133.5,1
41.5,43.7,47.6,123.3,125.7,140.6,135.4,1
85.3,86.3,39.88,58.03,64.7,145.0,140.6,1
101.6,102.1,24.98,48.03,48.72,144.9,142.9,1
80.94,81.2,36.9,60.78,69.25,143.1,140.2,1
54.6,50.72,52.06,113.75,116.4,141.0,136.1,1
52.34,51.0,48.1,130.2,124.2,142.8,135.9,1
37.03,39.03,44.62,128.5,124.3,141.5,134.6,1
37.38,37.6,42.88,126.3,124.1,142.0,134.1,1
40.2,40.6,43.03,125.4,122.7,142.1,135.2,1
40.78,42.1,43.38,125.25,122.0,141.8,133.9,1
35.7,38.06,43.53,124.4,123.6,140.4,134.1,1
47.28,47.66,47.88,124.6,122.7,142.6,138.1,1
87.9,86.06,46.16,79.6,81.06,145.4,141.0,1
98.06,96.3,27.19,45.75,46.47,145.5,141.4,1
91.9,93.7,22.95,50.06,47.9,147.0,143.6,1
87.25,90.2,32.4,54.78,63.5,146.1,141.0,1
51.97,50.22,51.25,119.4,121.5,139.9,133.0,1
51.25,50.88,45.9,118.6,120.2,141.0,137.1,1
43.47,42.22,43.56,119.5,121.1,140.5,132.8,1
44.9,41.1,42.44,124.4,120.2,142.8,135.0,1
36.6,34.44,43.03,121.56,125.9,139.4,130.9,1
40.88,39.12,42.66,119.9,122.1,141.0,134.0,1
45.38,40.4,43.28,119.8,118.75,141.8,134.1,1
63.62,50.47,44.6,127.94,122.0,147.2,139.9,1
68.9,34.5,94.0,141.2,147.0,138.9,137.1,1
68.8,35.22,95.3,140.6,136.8,138.2,138.0,1
