right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,pose
92.2,102.6,103.3,127.0,132.6,106.8,171.0,1
95.4,99.25,93.6,142.5,137.8,119.25,169.2,1
106.1,93.4,85.5,75.94,111.5,105.4,172.8,1
106.3,91.8,87.6,77.4,115.56,107.6,172.8,1
109.4,92.9,81.2,70.7,107.0,100.44,173.1,1
109.9,92.25,82.0,71.44,110.4,99.25,172.8,1
111.3,89.25,82.5,72.25,112.7,98.75,171.6,1
107.6,89.4,82.6,74.5,109.94,104.44,171.5,1
110.7,93.3,87.06,77.44,115.3,126.0,172.2,1
109.5,95.06,87.5,76.2,118.0,98.0,172.4,1
109.7,94.7,90.8,78.75,123.1,104.06,172.1,1
111.94,90.2,82.8,73.44,108.44,99.75,172.0,1
103.5,95.0,83.7,71.0,126.8,124.06,168.5,1
110.7,89.6,85.2,74.9,114.8,99.06,171.8,1
110.25,89.2,86.1,74.75,122.06,98.9,171.2,1
110.9,86.5,81.2,72.56,124.7,100.4,169.6,1
110.9,90.4,83.8,71.3,125.56,99.6,169.8,1
110.25,87.8,84.3,76.56,125.44,100.25,170.6,1
110.6,92.2,89.44,78.94,118.7,101.25,171.1,1
111.06,89.75,88.9,76.5,130.5,99.5,170.6,1
110.8,90.44,88.1,75.0,130.8,100.94,171.2,1
109.25,89.4,86.3,80.3,129.1,101.56,171.4,1
108.94,94.44,92.9,84.4,122.7,111.9,172.0,1
103.8,87.9,79.25,62.53,113.1,114.1,166.2,1
110.8,90.9,81.25,69.4,120.56,119.25,172.9,1
106.7,96.0,90.9,81.3,112.1,122.2,173.1,1
94.6,78.0,92.25,115.56,115.9,141.0,162.9,1
84.5,92.6,122.1,163.6,112.1,115.2,171.2,1
106.0,93.0,85.94,62.75,127.4,112.2,169.4,1
105.06,89.44,91.2,62.9,140.8,110.5,166.2,1
106.0,89.25,87.0,64.7,128.5,109.75,167.6,1
104.8,87.44,85.3,65.9,129.8,106.3,165.1,1
102.44,88.5,86.8,65.2,125.1,115.25,164.8,1
104.75,88.4,85.6,66.3,124.3,107.25,168.4,1
107.8,89.3,91.94,62.97,139.1,104.5,169.5,1
99.06,107.7,97.1,112.25,145.8,103.8,171.8,1
109.9,89.94,94.1,59.16,143.2,100.44,169.4,1
109.6,93.56,90.75,60.03,137.5,102.3,169.1,1
